team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
CLE,4.107751631211799,0.4521588667526229,121.16120539268384,CLE,-115.0,Cleveland Guardians,Minnesota Twins,Bovada,-36.16120539268384,8.629287386026721
MIN,4.521535754814922,0.5478411332473769,-121.16120539268375,MIN,-105.0,Cleveland Guardians,Minnesota Twins,Bovada,16.161205392683755,8.629287386026721
LAA,3.695442613499932,0.4233091226067479,136.233982826067,,,,,,-36.233982826067006,8.008737884719643
SEA,4.313295271219712,0.576690877393252,-136.233982826067,,,,,,36.233982826067006,8.008737884719643
TBR,4.124173186888531,0.4393443759915696,127.61188139556124,,,,,,-27.61188139556124,8.783063118408116
HOU,4.658889931519584,0.5606556240084304,-127.61188139556124,,,,,,27.61188139556124,8.783063118408116
MIA,3.782040184068953,0.4394601826806006,127.55190103918912,MIA,-145.0,Miami Marlins,Chicago Cubs,Bovada,-72.55190103918912,8.053433923422668
CHC,4.271393739353715,0.5605398173193993,-127.55190103918903,CHC,122.0,Miami Marlins,Chicago Cubs,Bovada,49.55190103918903,8.053433923422668
BAL,4.2110989535577845,0.5956105094374646,-147.28634728091643,BAL,-200.0,Baltimore Orioles,Detroit Tigers,Bovada,-52.71365271908357,7.680976917264077
DET,3.4698779637062933,0.4043894905625354,147.2863472809164,DET,165.0,Baltimore Orioles,Detroit Tigers,Bovada,17.713652719083598,7.680976917264077
ATL,4.692937675235328,0.5582396431259369,-126.36707537002458,ATL,-345.0,Atlanta Braves,Washington Nationals,Bovada,-218.63292462997543,8.867662163511978
WSN,4.1747244882766505,0.4417603568740632,126.36707537002457,WSN,270.0,Atlanta Braves,Washington Nationals,Bovada,143.63292462997543,8.867662163511978
MIL,4.019338038882864,0.4312465466343971,131.88591486803986,MIL,-115.0,Milwaukee Brewers,New York Mets,Bovada,-46.88591486803986,8.635209871495494
NYM,4.61587183261263,0.5687534533656029,-131.8859148680399,NYM,-105.0,Milwaukee Brewers,New York Mets,Bovada,26.88591486803989,8.635209871495494
COL,4.275717378676202,0.5028189205855462,-101.13396132808036,COL,102.0,Colorado Rockies,San Francisco Giants,Bovada,3.1339613280803604,8.527396512764517
SFG,4.251679134088315,0.4971810794144538,101.13396132808036,SFG,-122.0,Colorado Rockies,San Francisco Giants,Bovada,-23.13396132808036,8.527396512764517
LAD,5.065372711230758,0.6260692956301436,-167.42922908274892,LAD,-260.0,Los Angeles Dodgers,Arizona Diamondbacks,Bovada,-92.57077091725108,8.980048208984316
ARI,3.914675497753558,0.3739307043698563,167.42922908274898,ARI,210.0,Los Angeles Dodgers,Arizona Diamondbacks,Bovada,42.570770917251025,8.980048208984316
