name,price,point,home_team,away_team,bookmakers.title
Atlanta Braves,-260,,Atlanta Braves,Washington Nationals,FanDuel
Washington Nationals,215,,Atlanta Braves,Washington Nationals,FanDuel
Atlanta Braves,-278,,Atlanta Braves,Washington Nationals,Circa Sports
Washington Nationals,228,,Atlanta Braves,Washington Nationals,Circa Sports
Atlanta Braves,-260,,Atlanta Braves,Washington Nationals,BetUS
Washington Nationals,210,,Atlanta Braves,Washington Nationals,BetUS
Atlanta Braves,-278,,Atlanta Braves,Washington Nationals,FOX Bet
Washington Nationals,200,,Atlanta Braves,Washington Nationals,FOX Bet
Atlanta Braves,-250,,Atlanta Braves,Washington Nationals,SuperBook
Washington Nationals,220,,Atlanta Braves,Washington Nationals,SuperBook
Atlanta Braves,-267,,Atlanta Braves,Washington Nationals,William Hill (US)
Washington Nationals,215,,Atlanta Braves,Washington Nationals,William Hill (US)
Atlanta Braves,-260,,Atlanta Braves,Washington Nationals,Bovada
Washington Nationals,210,,Atlanta Braves,Washington Nationals,Bovada
Atlanta Braves,-244,,Atlanta Braves,Washington Nationals,Betfair
Washington Nationals,235,,Atlanta Braves,Washington Nationals,Betfair
Atlanta Braves,-238,,Atlanta Braves,Washington Nationals,Betfair
Washington Nationals,245,,Atlanta Braves,Washington Nationals,Betfair
Atlanta Braves,-253,,Atlanta Braves,Washington Nationals,LowVig.ag
Washington Nationals,226,,Atlanta Braves,Washington Nationals,LowVig.ag
Atlanta Braves,-256,,Atlanta Braves,Washington Nationals,BetOnline.ag
Washington Nationals,226,,Atlanta Braves,Washington Nationals,BetOnline.ag
Atlanta Braves,-253,,Atlanta Braves,Washington Nationals,GTbets
Washington Nationals,213,,Atlanta Braves,Washington Nationals,GTbets
Atlanta Braves,-260,,Atlanta Braves,Washington Nationals,DraftKings
Washington Nationals,220,,Atlanta Braves,Washington Nationals,DraftKings
Atlanta Braves,-250,,Atlanta Braves,Washington Nationals,WynnBET
Washington Nationals,225,,Atlanta Braves,Washington Nationals,WynnBET
Atlanta Braves,-250,,Atlanta Braves,Washington Nationals,Intertops
Washington Nationals,215,,Atlanta Braves,Washington Nationals,Intertops
Atlanta Braves,-250,,Atlanta Braves,Washington Nationals,BetMGM
Washington Nationals,200,,Atlanta Braves,Washington Nationals,BetMGM
Milwaukee Brewers,110,,Milwaukee Brewers,New York Mets,DraftKings
New York Mets,-130,,Milwaukee Brewers,New York Mets,DraftKings
Milwaukee Brewers,115,,Milwaukee Brewers,New York Mets,FOX Bet
New York Mets,-139,,Milwaukee Brewers,New York Mets,FOX Bet
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,LowVig.ag
New York Mets,-126,,Milwaukee Brewers,New York Mets,LowVig.ag
Milwaukee Brewers,111,,Milwaukee Brewers,New York Mets,Bovada
New York Mets,-133,,Milwaukee Brewers,New York Mets,Bovada
Milwaukee Brewers,114,,Milwaukee Brewers,New York Mets,FanDuel
New York Mets,-134,,Milwaukee Brewers,New York Mets,FanDuel
Milwaukee Brewers,110,,Milwaukee Brewers,New York Mets,William Hill (US)
New York Mets,-130,,Milwaukee Brewers,New York Mets,William Hill (US)
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,BetOnline.ag
New York Mets,-127,,Milwaukee Brewers,New York Mets,BetOnline.ag
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,GTbets
New York Mets,-126,,Milwaukee Brewers,New York Mets,GTbets
Milwaukee Brewers,106,,Milwaukee Brewers,New York Mets,Circa Sports
New York Mets,-125,,Milwaukee Brewers,New York Mets,Circa Sports
Milwaukee Brewers,118,,Milwaukee Brewers,New York Mets,Betfair
New York Mets,-122,,Milwaukee Brewers,New York Mets,Betfair
Milwaukee Brewers,122,,Milwaukee Brewers,New York Mets,Betfair
New York Mets,-119,,Milwaukee Brewers,New York Mets,Betfair
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,BetUS
New York Mets,-126,,Milwaukee Brewers,New York Mets,BetUS
Milwaukee Brewers,105,,Milwaukee Brewers,New York Mets,BetMGM
New York Mets,-125,,Milwaukee Brewers,New York Mets,BetMGM
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,SuperBook
New York Mets,-126,,Milwaukee Brewers,New York Mets,SuperBook
Milwaukee Brewers,108,,Milwaukee Brewers,New York Mets,Unibet
New York Mets,-135,,Milwaukee Brewers,New York Mets,Unibet
Milwaukee Brewers,108,,Milwaukee Brewers,New York Mets,TwinSpires
New York Mets,-136,,Milwaukee Brewers,New York Mets,TwinSpires
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,BetRivers
New York Mets,-136,,Milwaukee Brewers,New York Mets,BetRivers
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,SugarHouse
New York Mets,-136,,Milwaukee Brewers,New York Mets,SugarHouse
Milwaukee Brewers,116,,Milwaukee Brewers,New York Mets,Barstool Sportsbook
New York Mets,-136,,Milwaukee Brewers,New York Mets,Barstool Sportsbook
Milwaukee Brewers,112,,Milwaukee Brewers,New York Mets,WynnBET
New York Mets,-122,,Milwaukee Brewers,New York Mets,WynnBET
Milwaukee Brewers,115,,Milwaukee Brewers,New York Mets,Intertops
New York Mets,-125,,Milwaukee Brewers,New York Mets,Intertops
Boston Red Sox,-168,,Cincinnati Reds,Boston Red Sox,FanDuel
Cincinnati Reds,142,,Cincinnati Reds,Boston Red Sox,FanDuel
Boston Red Sox,-165,,Cincinnati Reds,Boston Red Sox,DraftKings
Cincinnati Reds,140,,Cincinnati Reds,Boston Red Sox,DraftKings
Boston Red Sox,-164,,Cincinnati Reds,Boston Red Sox,Circa Sports
Cincinnati Reds,138,,Cincinnati Reds,Boston Red Sox,Circa Sports
Boston Red Sox,-165,,Cincinnati Reds,Boston Red Sox,William Hill (US)
Cincinnati Reds,140,,Cincinnati Reds,Boston Red Sox,William Hill (US)
Boston Red Sox,-175,,Cincinnati Reds,Boston Red Sox,FOX Bet
Cincinnati Reds,145,,Cincinnati Reds,Boston Red Sox,FOX Bet
Boston Red Sox,-157,,Cincinnati Reds,Boston Red Sox,BetUS
Cincinnati Reds,142,,Cincinnati Reds,Boston Red Sox,BetUS
Boston Red Sox,-165,,Cincinnati Reds,Boston Red Sox,Bovada
Cincinnati Reds,139,,Cincinnati Reds,Boston Red Sox,Bovada
