name,price,point,home_team,away_team,bookmakers.title
Cincinnati Reds,135,,Cincinnati Reds,Philadelphia Phillies,DraftKings
Philadelphia Phillies,-155,,Cincinnati Reds,Philadelphia Phillies,DraftKings
Cincinnati Reds,138,,Cincinnati Reds,Philadelphia Phillies,FanDuel
Philadelphia Phillies,-164,,Cincinnati Reds,Philadelphia Phillies,FanDuel
Cincinnati Reds,140,,Cincinnati Reds,Philadelphia Phillies,FOX Bet
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,FOX Bet
Cincinnati Reds,141,,Cincinnati Reds,Philadelphia Phillies,BetOnline.ag
Philadelphia Phillies,-154,,Cincinnati Reds,Philadelphia Phillies,BetOnline.ag
Cincinnati Reds,135,,Cincinnati Reds,Philadelphia Phillies,William Hill (US)
Philadelphia Phillies,-160,,Cincinnati Reds,Philadelphia Phillies,William Hill (US)
Cincinnati Reds,142,,Cincinnati Reds,Philadelphia Phillies,Bovada
Philadelphia Phillies,-172,,Cincinnati Reds,Philadelphia Phillies,Bovada
Cincinnati Reds,141,,Cincinnati Reds,Philadelphia Phillies,LowVig.ag
Philadelphia Phillies,-153,,Cincinnati Reds,Philadelphia Phillies,LowVig.ag
Cincinnati Reds,141,,Cincinnati Reds,Philadelphia Phillies,GTbets
Philadelphia Phillies,-153,,Cincinnati Reds,Philadelphia Phillies,GTbets
Cincinnati Reds,145,,Cincinnati Reds,Philadelphia Phillies,WynnBET
Philadelphia Phillies,-154,,Cincinnati Reds,Philadelphia Phillies,WynnBET
Cincinnati Reds,135,,Cincinnati Reds,Philadelphia Phillies,PointsBet (US)
Philadelphia Phillies,-160,,Cincinnati Reds,Philadelphia Phillies,PointsBet (US)
Cincinnati Reds,141,,Cincinnati Reds,Philadelphia Phillies,Circa Sports
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,Circa Sports
Cincinnati Reds,135,,Cincinnati Reds,Philadelphia Phillies,BetMGM
Philadelphia Phillies,-165,,Cincinnati Reds,Philadelphia Phillies,BetMGM
Cincinnati Reds,138,,Cincinnati Reds,Philadelphia Phillies,Unibet
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,Unibet
Cincinnati Reds,145,,Cincinnati Reds,Philadelphia Phillies,BetRivers
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,BetRivers
Cincinnati Reds,145,,Cincinnati Reds,Philadelphia Phillies,Barstool Sportsbook
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,Barstool Sportsbook
Cincinnati Reds,145,,Cincinnati Reds,Philadelphia Phillies,SugarHouse
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,SugarHouse
Cincinnati Reds,138,,Cincinnati Reds,Philadelphia Phillies,TwinSpires
Philadelphia Phillies,-167,,Cincinnati Reds,Philadelphia Phillies,TwinSpires
Cincinnati Reds,139,,Cincinnati Reds,Philadelphia Phillies,BetUS
Philadelphia Phillies,-154,,Cincinnati Reds,Philadelphia Phillies,BetUS
Cincinnati Reds,138,,Cincinnati Reds,Philadelphia Phillies,Intertops
Philadelphia Phillies,-153,,Cincinnati Reds,Philadelphia Phillies,Intertops
Cincinnati Reds,146,,Cincinnati Reds,Philadelphia Phillies,Betfair
Philadelphia Phillies,-149,,Cincinnati Reds,Philadelphia Phillies,Betfair
Cincinnati Reds,150,,Cincinnati Reds,Philadelphia Phillies,Betfair
Philadelphia Phillies,-145,,Cincinnati Reds,Philadelphia Phillies,Betfair
Chicago Cubs,-165,,Washington Nationals,Chicago Cubs,DraftKings
Washington Nationals,140,,Washington Nationals,Chicago Cubs,DraftKings
Chicago Cubs,-162,,Washington Nationals,Chicago Cubs,FanDuel
Washington Nationals,136,,Washington Nationals,Chicago Cubs,FanDuel
Chicago Cubs,-161,,Washington Nationals,Chicago Cubs,FOX Bet
Washington Nationals,135,,Washington Nationals,Chicago Cubs,FOX Bet
Chicago Cubs,-149,,Washington Nationals,Chicago Cubs,BetOnline.ag
Washington Nationals,138,,Washington Nationals,Chicago Cubs,BetOnline.ag
Chicago Cubs,-160,,Washington Nationals,Chicago Cubs,William Hill (US)
Washington Nationals,135,,Washington Nationals,Chicago Cubs,William Hill (US)
Chicago Cubs,-163,,Washington Nationals,Chicago Cubs,Bovada
Washington Nationals,137,,Washington Nationals,Chicago Cubs,Bovada
Chicago Cubs,-149,,Washington Nationals,Chicago Cubs,LowVig.ag
Washington Nationals,138,,Washington Nationals,Chicago Cubs,LowVig.ag
Chicago Cubs,-149,,Washington Nationals,Chicago Cubs,GTbets
Washington Nationals,137,,Washington Nationals,Chicago Cubs,GTbets
Chicago Cubs,-154,,Washington Nationals,Chicago Cubs,WynnBET
Washington Nationals,145,,Washington Nationals,Chicago Cubs,WynnBET
Chicago Cubs,-160,,Washington Nationals,Chicago Cubs,PointsBet (US)
Washington Nationals,135,,Washington Nationals,Chicago Cubs,PointsBet (US)
Chicago Cubs,-148,,Washington Nationals,Chicago Cubs,Circa Sports
Washington Nationals,125,,Washington Nationals,Chicago Cubs,Circa Sports
Chicago Cubs,-155,,Washington Nationals,Chicago Cubs,BetMGM
Washington Nationals,125,,Washington Nationals,Chicago Cubs,BetMGM
Chicago Cubs,-161,,Washington Nationals,Chicago Cubs,Unibet
Washington Nationals,135,,Washington Nationals,Chicago Cubs,Unibet
Chicago Cubs,-157,,Washington Nationals,Chicago Cubs,BetRivers
Washington Nationals,138,,Washington Nationals,Chicago Cubs,BetRivers
Chicago Cubs,-159,,Washington Nationals,Chicago Cubs,Barstool Sportsbook
Washington Nationals,138,,Washington Nationals,Chicago Cubs,Barstool Sportsbook
Chicago Cubs,-157,,Washington Nationals,Chicago Cubs,SugarHouse
Washington Nationals,138,,Washington Nationals,Chicago Cubs,SugarHouse
Chicago Cubs,-162,,Washington Nationals,Chicago Cubs,TwinSpires
Washington Nationals,135,,Washington Nationals,Chicago Cubs,TwinSpires
Chicago Cubs,-152,,Washington Nationals,Chicago Cubs,BetUS
Washington Nationals,137,,Washington Nationals,Chicago Cubs,BetUS
Chicago Cubs,-150,,Washington Nationals,Chicago Cubs,Intertops
Washington Nationals,135,,Washington Nationals,Chicago Cubs,Intertops
Chicago Cubs,-149,,Washington Nationals,Chicago Cubs,Betfair
Washington Nationals,146,,Washington Nationals,Chicago Cubs,Betfair
Chicago Cubs,-145,,Washington Nationals,Chicago Cubs,Betfair
Washington Nationals,150,,Washington Nationals,Chicago Cubs,Betfair
Kansas City Royals,165,,Minnesota Twins,Kansas City Royals,DraftKings
Minnesota Twins,-195,,Minnesota Twins,Kansas City Royals,DraftKings
Kansas City Royals,174,,Minnesota Twins,Kansas City Royals,BetOnline.ag
Minnesota Twins,-192,,Minnesota Twins,Kansas City Royals,BetOnline.ag
Kansas City Royals,170,,Minnesota Twins,Kansas City Royals,William Hill (US)
Minnesota Twins,-205,,Minnesota Twins,Kansas City Royals,William Hill (US)
Kansas City Royals,168,,Minnesota Twins,Kansas City Royals,FanDuel
Minnesota Twins,-200,,Minnesota Twins,Kansas City Royals,FanDuel
Kansas City Royals,165,,Minnesota Twins,Kansas City Royals,FOX Bet
Minnesota Twins,-200,,Minnesota Twins,Kansas City Royals,FOX Bet
Kansas City Royals,160,,Minnesota Twins,Kansas City Royals,Bovada
