name,price,point,home_team,away_team,bookmakers.title
Atlanta Braves,-255,,Pittsburgh Pirates,Atlanta Braves,DraftKings
Pittsburgh Pirates,215,,Pittsburgh Pirates,Atlanta Braves,DraftKings
Atlanta Braves,-256,,Pittsburgh Pirates,Atlanta Braves,BetOnline.ag
Pittsburgh Pirates,228,,Pittsburgh Pirates,Atlanta Braves,BetOnline.ag
Atlanta Braves,-278,,Pittsburgh Pirates,Atlanta Braves,FOX Bet
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,FOX Bet
Atlanta Braves,-275,,Pittsburgh Pirates,Atlanta Braves,FanDuel
Pittsburgh Pirates,225,,Pittsburgh Pirates,Atlanta Braves,FanDuel
Atlanta Braves,-260,,Pittsburgh Pirates,Atlanta Braves,BetUS
Pittsburgh Pirates,210,,Pittsburgh Pirates,Atlanta Braves,BetUS
Atlanta Braves,-255,,Pittsburgh Pirates,Atlanta Braves,LowVig.ag
Pittsburgh Pirates,228,,Pittsburgh Pirates,Atlanta Braves,LowVig.ag
Atlanta Braves,-270,,Pittsburgh Pirates,Atlanta Braves,Bovada
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,Bovada
Atlanta Braves,-267,,Pittsburgh Pirates,Atlanta Braves,William Hill (US)
Pittsburgh Pirates,215,,Pittsburgh Pirates,Atlanta Braves,William Hill (US)
Atlanta Braves,-255,,Pittsburgh Pirates,Atlanta Braves,GTbets
Pittsburgh Pirates,215,,Pittsburgh Pirates,Atlanta Braves,GTbets
Atlanta Braves,-256,,Pittsburgh Pirates,Atlanta Braves,WynnBET
Pittsburgh Pirates,230,,Pittsburgh Pirates,Atlanta Braves,WynnBET
Atlanta Braves,-303,,Pittsburgh Pirates,Atlanta Braves,Unibet
Pittsburgh Pirates,240,,Pittsburgh Pirates,Atlanta Braves,Unibet
Atlanta Braves,-305,,Pittsburgh Pirates,Atlanta Braves,SugarHouse
Pittsburgh Pirates,250,,Pittsburgh Pirates,Atlanta Braves,SugarHouse
Atlanta Braves,-305,,Pittsburgh Pirates,Atlanta Braves,Barstool Sportsbook
Pittsburgh Pirates,250,,Pittsburgh Pirates,Atlanta Braves,Barstool Sportsbook
Atlanta Braves,-305,,Pittsburgh Pirates,Atlanta Braves,TwinSpires
Pittsburgh Pirates,240,,Pittsburgh Pirates,Atlanta Braves,TwinSpires
Atlanta Braves,-305,,Pittsburgh Pirates,Atlanta Braves,BetRivers
Pittsburgh Pirates,250,,Pittsburgh Pirates,Atlanta Braves,BetRivers
Atlanta Braves,-271,,Pittsburgh Pirates,Atlanta Braves,Circa Sports
Pittsburgh Pirates,223,,Pittsburgh Pirates,Atlanta Braves,Circa Sports
Atlanta Braves,-275,,Pittsburgh Pirates,Atlanta Braves,BetMGM
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,BetMGM
Atlanta Braves,-276,,Pittsburgh Pirates,Atlanta Braves,PointsBet (US)
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,PointsBet (US)
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,Intertops
Pittsburgh Pirates,215,,Pittsburgh Pirates,Atlanta Braves,Intertops
Atlanta Braves,-244,,Pittsburgh Pirates,Atlanta Braves,Betfair
Pittsburgh Pirates,240,,Pittsburgh Pirates,Atlanta Braves,Betfair
Atlanta Braves,-238,,Pittsburgh Pirates,Atlanta Braves,Betfair
Pittsburgh Pirates,245,,Pittsburgh Pirates,Atlanta Braves,Betfair
Detroit Tigers,135,,Detroit Tigers,San Francisco Giants,DraftKings
San Francisco Giants,-155,,Detroit Tigers,San Francisco Giants,DraftKings
Detroit Tigers,138,,Detroit Tigers,San Francisco Giants,BetOnline.ag
San Francisco Giants,-149,,Detroit Tigers,San Francisco Giants,BetOnline.ag
Detroit Tigers,140,,Detroit Tigers,San Francisco Giants,FOX Bet
San Francisco Giants,-167,,Detroit Tigers,San Francisco Giants,FOX Bet
Detroit Tigers,136,,Detroit Tigers,San Francisco Giants,BetUS
San Francisco Giants,-151,,Detroit Tigers,San Francisco Giants,BetUS
Detroit Tigers,136,,Detroit Tigers,San Francisco Giants,FanDuel
San Francisco Giants,-162,,Detroit Tigers,San Francisco Giants,FanDuel
Detroit Tigers,138,,Detroit Tigers,San Francisco Giants,LowVig.ag
San Francisco Giants,-149,,Detroit Tigers,San Francisco Giants,LowVig.ag
Detroit Tigers,130,,Detroit Tigers,San Francisco Giants,Bovada
San Francisco Giants,-155,,Detroit Tigers,San Francisco Giants,Bovada
Detroit Tigers,135,,Detroit Tigers,San Francisco Giants,William Hill (US)
San Francisco Giants,-160,,Detroit Tigers,San Francisco Giants,William Hill (US)
Detroit Tigers,137,,Detroit Tigers,San Francisco Giants,GTbets
San Francisco Giants,-149,,Detroit Tigers,San Francisco Giants,GTbets
Detroit Tigers,140,,Detroit Tigers,San Francisco Giants,Unibet
San Francisco Giants,-167,,Detroit Tigers,San Francisco Giants,Unibet
Detroit Tigers,140,,Detroit Tigers,San Francisco Giants,SugarHouse
San Francisco Giants,-162,,Detroit Tigers,San Francisco Giants,SugarHouse
Detroit Tigers,140,,Detroit Tigers,San Francisco Giants,Barstool Sportsbook
San Francisco Giants,-162,,Detroit Tigers,San Francisco Giants,Barstool Sportsbook
Detroit Tigers,140,,Detroit Tigers,San Francisco Giants,TwinSpires
San Francisco Giants,-167,,Detroit Tigers,San Francisco Giants,TwinSpires
Detroit Tigers,140,,Detroit Tigers,San Francisco Giants,BetRivers
San Francisco Giants,-162,,Detroit Tigers,San Francisco Giants,BetRivers
Detroit Tigers,130,,Detroit Tigers,San Francisco Giants,Circa Sports
San Francisco Giants,-154,,Detroit Tigers,San Francisco Giants,Circa Sports
Detroit Tigers,142,,Detroit Tigers,San Francisco Giants,WynnBET
San Francisco Giants,-152,,Detroit Tigers,San Francisco Giants,WynnBET
Detroit Tigers,135,,Detroit Tigers,San Francisco Giants,BetMGM
San Francisco Giants,-160,,Detroit Tigers,San Francisco Giants,BetMGM
Detroit Tigers,135,,Detroit Tigers,San Francisco Giants,PointsBet (US)
San Francisco Giants,-160,,Detroit Tigers,San Francisco Giants,PointsBet (US)
Detroit Tigers,133,,Detroit Tigers,San Francisco Giants,Intertops
San Francisco Giants,-145,,Detroit Tigers,San Francisco Giants,Intertops
Detroit Tigers,144,,Detroit Tigers,San Francisco Giants,Betfair
San Francisco Giants,-149,,Detroit Tigers,San Francisco Giants,Betfair
Detroit Tigers,150,,Detroit Tigers,San Francisco Giants,Betfair
San Francisco Giants,-145,,Detroit Tigers,San Francisco Giants,Betfair
Colorado Rockies,120,,Colorado Rockies,Texas Rangers,DraftKings
Texas Rangers,-140,,Colorado Rockies,Texas Rangers,DraftKings
Colorado Rockies,119,,Colorado Rockies,Texas Rangers,BetOnline.ag
Texas Rangers,-130,,Colorado Rockies,Texas Rangers,BetOnline.ag
Colorado Rockies,115,,Colorado Rockies,Texas Rangers,FOX Bet
Texas Rangers,-139,,Colorado Rockies,Texas Rangers,FOX Bet
