Name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,abbrev_name
Cal Quantrill,3.51,2.65,1.04,1.22,4.38,0.355,C.Quantrill
Robbie Ray,3.72,3.59,1.47,1.17,3.52,0.39299999999999996,R.Ray
Nick Pivetta,4.35,2.54,1.25,1.34,4.19,0.44299999999999995,N.Pivetta
Kyle Gibson,4.45,2.91,1.19,1.27,4.01,0.368,K.Gibson
Dean Kremer,3.33,2.78,0.68,1.27,4.36,0.41,D.Kremer
Lance Lynn,3.99,7.06,1.39,1.07,3.3,0.374,L.Lynn
Evan Phillips,1.28,4.64,0.32,0.76,2.97,0.307,E.Phillips
Reid Detmers,3.71,2.47,0.98,1.2,4.26,0.387,R.Detmers
Reynaldo Lopez,2.88,5.45,0.15,0.94,3.12,0.396,R.Lopez
Freddy Peralta,3.45,3.04,0.64,1.02,3.77,0.319,F.Peralta
Joe Ryan,3.61,3.21,1.31,1.09,4.39,0.35700000000000004,J.Ryan
Luis Garcia,4.04,3.4,1.41,1.17,3.81,0.349,L.Garcia
Charlie Morton,4.17,3.34,1.37,1.19,3.59,0.405,C.Morton
Alex Wood,5.1,4.37,1.17,1.24,3.41,0.39299999999999996,A.Wood
Michael King,2.29,4.13,0.53,1.0,2.42,0.359,M.King
Marcus Stroman,3.76,3.09,1.05,1.18,3.6,0.40299999999999997,M.Stroman
Trevor Stephan,2.64,5.29,0.47,1.19,2.77,0.342,T.Stephan
Jesus Luzardo,3.75,2.94,0.88,1.09,3.47,0.38,J.Luzardo
Andres Munoz,2.61,6.0,0.77,0.92,2.0,0.385,A.Munoz
Rich Hill,4.7,2.73,1.01,1.34,4.18,0.349,R.Hill
Daniel Bard,1.95,2.54,0.49,1.01,3.47,0.384,D.Bard
Hector Neris,3.36,4.93,0.44,0.92,3.3,0.46299999999999997,H.Neris
Anthony Bass,1.4,4.4,0.56,0.96,3.23,0.337,A.Bass
Joe Jimenez,3.21,5.85,0.48,1.05,2.71,0.39399999999999996,J.Jimenez
Antonio Senzatela,5.07,2.35,0.88,1.69,4.07,0.414,A.Senzatela
Erik Swanson,1.12,7.88,0.56,0.83,2.66,0.306,E.Swanson
Jordan Lyles,4.7,2.58,1.29,1.45,4.53,0.384,J.Lyles
Lucas Giolito,5.07,2.87,1.44,1.49,3.65,0.389,L.Giolito
Cole Irvin,3.79,3.45,1.19,1.1,4.34,0.4,C.Irvin
