team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison
PHI,4.281863571525967,0.4635442148516547,115.7291511706222,PHI,-155,Philadelphia Phillies,New York Mets,Bovada,-70.7291511706222
PHI,4.281863571525967,0.4635442148516547,115.7291511706222,PHI,105,Philadelphia Phillies,New York Mets,Bovada,-10.729151170622202
NYM,4.60632110916597,0.5364557851483454,-115.72915117062225,NYM,130,Philadelphia Phillies,New York Mets,Bovada,45.729151170622245
NYM,4.60632110916597,0.5364557851483454,-115.72915117062225,NYM,-125,Philadelphia Phillies,New York Mets,Bovada,-9.270848829377755
NYY,4.9993807045639365,0.5275724650394205,-111.67267485444988,NYY,-210,New York Yankees,Toronto Blue Jays,Bovada,-98.32732514555012
TOR,4.730888911901397,0.4724275349605796,111.67267485444984,TOR,170,New York Yankees,Toronto Blue Jays,Bovada,58.32732514555016
DET,2.9640087321546167,0.3303097997839826,202.74608886989856,DET,139,Detroit Tigers,Los Angeles Angels,Bovada,-63.74608886989856
LAA,4.2204204749899805,0.6696902002160173,-202.7460888698985,LAA,-165,Detroit Tigers,Los Angeles Angels,Bovada,37.7460888698985
CHC,4.665235871746244,0.5239480334637912,-110.06110052985976,CHC,107,Chicago Cubs,Milwaukee Brewers,Bovada,17.061100529859758
MIL,4.446893010993613,0.4760519665362089,110.06110052985971,MIL,-128,Chicago Cubs,Milwaukee Brewers,Bovada,-38.061100529859715
BAL,3.830829595319951,0.4094640208034463,144.22170183299858,BAL,111,Baltimore Orioles,Boston Red Sox,Bovada,-33.221701832998576
BOS,4.600532911463555,0.5905359791965535,-144.22170183299852,BOS,-133,Baltimore Orioles,Boston Red Sox,Bovada,11.22170183299852
TBR,3.958902256936872,0.4957811863746044,101.70188532414696,TBR,-200,Tampa Bay Rays,Kansas City Royals,Bovada,-101.70188532414696
KCR,3.992448119317423,0.5042188136253956,-101.70188532414696,KCR,165,Tampa Bay Rays,Kansas City Royals,Bovada,66.70188532414696
CLE,3.9304271335978864,0.4560842200291284,119.25775023221232,CLE,-180,Cleveland Guardians,Chicago White Sox,Bovada,-99.25775023221232
CHW,4.292230689042517,0.5439157799708716,-119.25775023221232,CHW,148,Cleveland Guardians,Chicago White Sox,Bovada,67.25775023221232
PIT,3.1307990860424355,0.3668342009672477,172.60271734839782,PIT,-145,Pittsburgh Pirates,Cincinnati Reds,Bovada,-117.60271734839782
CIN,4.113192286640293,0.6331657990327523,-172.60271734839782,CIN,122,Pittsburgh Pirates,Cincinnati Reds,Bovada,94.60271734839782
MIN,4.768492177814686,0.5162857044958113,-106.73360479405984,MIN,-175,Minnesota Twins,Texas Rangers,Bovada,-68.26639520594016
TEX,4.615624668976389,0.4837142955041886,106.73360479405984,TEX,144,Minnesota Twins,Texas Rangers,Bovada,37.26639520594016
PHI,4.383020184419496,0.4948958329105721,102.06272380973968,PHI,-155,Philadelphia Phillies,New York Mets,Bovada,-57.06272380973968
PHI,4.383020184419496,0.4948958329105721,102.06272380973968,PHI,105,Philadelphia Phillies,New York Mets,Bovada,2.93727619026032
NYM,4.427994246018051,0.505104167089428,-102.06272380973968,NYM,130,Philadelphia Phillies,New York Mets,Bovada,32.06272380973968
NYM,4.427994246018051,0.505104167089428,-102.06272380973968,NYM,-125,Philadelphia Phillies,New York Mets,Bovada,-22.93727619026032
OAK,2.987172789829393,0.317305489148475,215.15370335496323,OAK,148,Oakland Athletics,Seattle Mariners,Bovada,-67.15370335496323
SEA,4.381620476920679,0.682694510851525,-215.15370335496323,SEA,-180,Oakland Athletics,Seattle Mariners,Bovada,35.15370335496323
ATL,4.742720432640715,0.4802398429885144,108.22928680324353,ATL,-160,Atlanta Braves,Houston Astros,Bovada,-68.22928680324353
HOU,4.934008842869986,0.5197601570114856,-108.22928680324353,HOU,134,Atlanta Braves,Houston Astros,Bovada,42.229286803243525
COL,4.575745747540768,0.4771701888535185,109.56883379547828,COL,148,Colorado Rockies,San Francisco Giants,Bovada,38.431166204521716
SFG,4.789667927523171,0.5228298111464815,-109.56883379547828,SFG,-180,Colorado Rockies,San Francisco Giants,Bovada,-70.43116620452172
ARI,4.172562741294776,0.4240246313852612,135.83535624642002,ARI,128,Arizona Diamondbacks,St. Louis Cardinals,Bovada,-7.8353562464200195
STL,4.863056202701682,0.5759753686147387,-135.83535624642,STL,-153,Arizona Diamondbacks,St. Louis Cardinals,Bovada,-17.16464375358001
SDP,3.814148547379815,0.4708150257641134,112.3976392590787,SDP,-310,San Diego Padres,Washington Nationals,Bovada,-222.3976392590787
WSN,4.043674581470182,0.5291849742358866,-112.3976392590787,WSN,250,San Diego Padres,Washington Nationals,Bovada,162.3976392590787
LAD,4.976926809072873,0.5898465032082236,-143.81116041238394,LAD,-295,Los Angeles Dodgers,Miami Marlins,Bovada,-151.18883958761606
MIA,4.15016113194767,0.4101534967917762,143.81116041238403,MIA,235,Los Angeles Dodgers,Miami Marlins,Bovada,91.18883958761597
