name,price,point,home_team,away_team,bookmakers.title
New York Mets,-215,,Pittsburgh Pirates,New York Mets,DraftKings
Pittsburgh Pirates,185,,Pittsburgh Pirates,New York Mets,DraftKings
New York Mets,-225,,Pittsburgh Pirates,New York Mets,FanDuel
Pittsburgh Pirates,188,,Pittsburgh Pirates,New York Mets,FanDuel
New York Mets,-225,,Pittsburgh Pirates,New York Mets,William Hill (US)
Pittsburgh Pirates,185,,Pittsburgh Pirates,New York Mets,William Hill (US)
New York Mets,-208,,Pittsburgh Pirates,New York Mets,BetOnline.ag
Pittsburgh Pirates,188,,Pittsburgh Pirates,New York Mets,BetOnline.ag
New York Mets,-205,,Pittsburgh Pirates,New York Mets,LowVig.ag
Pittsburgh Pirates,188,,Pittsburgh Pirates,New York Mets,LowVig.ag
New York Mets,-215,,Pittsburgh Pirates,New York Mets,BetUS
Pittsburgh Pirates,185,,Pittsburgh Pirates,New York Mets,BetUS
New York Mets,-227,,Pittsburgh Pirates,New York Mets,FOX Bet
Pittsburgh Pirates,185,,Pittsburgh Pirates,New York Mets,FOX Bet
New York Mets,-205,,Pittsburgh Pirates,New York Mets,GTbets
Pittsburgh Pirates,185,,Pittsburgh Pirates,New York Mets,GTbets
New York Mets,-220,,Pittsburgh Pirates,New York Mets,Bovada
Pittsburgh Pirates,180,,Pittsburgh Pirates,New York Mets,Bovada
New York Mets,-218,,Pittsburgh Pirates,New York Mets,Circa Sports
Pittsburgh Pirates,182,,Pittsburgh Pirates,New York Mets,Circa Sports
New York Mets,-225,,Pittsburgh Pirates,New York Mets,BetMGM
Pittsburgh Pirates,185,,Pittsburgh Pirates,New York Mets,BetMGM
New York Mets,-210,,Pittsburgh Pirates,New York Mets,SuperBook
Pittsburgh Pirates,190,,Pittsburgh Pirates,New York Mets,SuperBook
New York Mets,-227,,Pittsburgh Pirates,New York Mets,Unibet
Pittsburgh Pirates,188,,Pittsburgh Pirates,New York Mets,Unibet
New York Mets,-200,,Pittsburgh Pirates,New York Mets,SugarHouse
Pittsburgh Pirates,175,,Pittsburgh Pirates,New York Mets,SugarHouse
New York Mets,-210,,Pittsburgh Pirates,New York Mets,Barstool Sportsbook
Pittsburgh Pirates,175,,Pittsburgh Pirates,New York Mets,Barstool Sportsbook
New York Mets,-210,,Pittsburgh Pirates,New York Mets,TwinSpires
Pittsburgh Pirates,175,,Pittsburgh Pirates,New York Mets,TwinSpires
New York Mets,-200,,Pittsburgh Pirates,New York Mets,BetRivers
Pittsburgh Pirates,175,,Pittsburgh Pirates,New York Mets,BetRivers
New York Mets,-213,,Pittsburgh Pirates,New York Mets,WynnBET
Pittsburgh Pirates,195,,Pittsburgh Pirates,New York Mets,WynnBET
New York Mets,-220,,Pittsburgh Pirates,New York Mets,Intertops
