name,price,point,home_team,away_team,bookmakers.title
Colorado Rockies,200,,St. Louis Cardinals,Colorado Rockies,DraftKings
St. Louis Cardinals,-240,,St. Louis Cardinals,Colorado Rockies,DraftKings
Colorado Rockies,209,,St. Louis Cardinals,Colorado Rockies,BetOnline.ag
St. Louis Cardinals,-233,,St. Louis Cardinals,Colorado Rockies,BetOnline.ag
Colorado Rockies,205,,St. Louis Cardinals,Colorado Rockies,FOX Bet
St. Louis Cardinals,-250,,St. Louis Cardinals,Colorado Rockies,FOX Bet
Colorado Rockies,196,,St. Louis Cardinals,Colorado Rockies,William Hill (US)
St. Louis Cardinals,-240,,St. Louis Cardinals,Colorado Rockies,William Hill (US)
Colorado Rockies,205,,St. Louis Cardinals,Colorado Rockies,FanDuel
St. Louis Cardinals,-250,,St. Louis Cardinals,Colorado Rockies,FanDuel
Colorado Rockies,206,,St. Louis Cardinals,Colorado Rockies,LowVig.ag
St. Louis Cardinals,-228,,St. Louis Cardinals,Colorado Rockies,LowVig.ag
Colorado Rockies,215,,St. Louis Cardinals,Colorado Rockies,WynnBET
St. Louis Cardinals,-238,,St. Louis Cardinals,Colorado Rockies,WynnBET
Colorado Rockies,195,,St. Louis Cardinals,Colorado Rockies,PointsBet (US)
St. Louis Cardinals,-245,,St. Louis Cardinals,Colorado Rockies,PointsBet (US)
Colorado Rockies,195,,St. Louis Cardinals,Colorado Rockies,Bovada
St. Louis Cardinals,-240,,St. Louis Cardinals,Colorado Rockies,Bovada
Colorado Rockies,190,,St. Louis Cardinals,Colorado Rockies,Circa Sports
St. Louis Cardinals,-228,,St. Louis Cardinals,Colorado Rockies,Circa Sports
Colorado Rockies,195,,St. Louis Cardinals,Colorado Rockies,BetUS
St. Louis Cardinals,-235,,St. Louis Cardinals,Colorado Rockies,BetUS
Colorado Rockies,185,,St. Louis Cardinals,Colorado Rockies,BetMGM
St. Louis Cardinals,-225,,St. Louis Cardinals,Colorado Rockies,BetMGM
Colorado Rockies,210,,St. Louis Cardinals,Colorado Rockies,Unibet
St. Louis Cardinals,-250,,St. Louis Cardinals,Colorado Rockies,Unibet
Colorado Rockies,210,,St. Louis Cardinals,Colorado Rockies,BetRivers
St. Louis Cardinals,-245,,St. Louis Cardinals,Colorado Rockies,BetRivers
Colorado Rockies,210,,St. Louis Cardinals,Colorado Rockies,SugarHouse
St. Louis Cardinals,-245,,St. Louis Cardinals,Colorado Rockies,SugarHouse
Colorado Rockies,210,,St. Louis Cardinals,Colorado Rockies,TwinSpires
St. Louis Cardinals,-250,,St. Louis Cardinals,Colorado Rockies,TwinSpires
Colorado Rockies,210,,St. Louis Cardinals,Colorado Rockies,Barstool Sportsbook
St. Louis Cardinals,-250,,St. Louis Cardinals,Colorado Rockies,Barstool Sportsbook
Colorado Rockies,202,,St. Louis Cardinals,Colorado Rockies,GTbets
St. Louis Cardinals,-232,,St. Louis Cardinals,Colorado Rockies,GTbets
Colorado Rockies,220,,St. Louis Cardinals,Colorado Rockies,Betfair
St. Louis Cardinals,-227,,St. Louis Cardinals,Colorado Rockies,Betfair
Colorado Rockies,225,,St. Louis Cardinals,Colorado Rockies,Betfair
St. Louis Cardinals,-222,,St. Louis Cardinals,Colorado Rockies,Betfair
Oakland Athletics,170,,Texas Rangers,Oakland Athletics,BetOnline.ag
Texas Rangers,-185,,Texas Rangers,Oakland Athletics,BetOnline.ag
Oakland Athletics,160,,Texas Rangers,Oakland Athletics,DraftKings
Texas Rangers,-190,,Texas Rangers,Oakland Athletics,DraftKings
Oakland Athletics,163,,Texas Rangers,Oakland Athletics,FOX Bet
Texas Rangers,-200,,Texas Rangers,Oakland Athletics,FOX Bet
Oakland Athletics,170,,Texas Rangers,Oakland Athletics,LowVig.ag
Texas Rangers,-185,,Texas Rangers,Oakland Athletics,LowVig.ag
Oakland Athletics,168,,Texas Rangers,Oakland Athletics,FanDuel
Texas Rangers,-200,,Texas Rangers,Oakland Athletics,FanDuel
Oakland Athletics,162,,Texas Rangers,Oakland Athletics,William Hill (US)
Texas Rangers,-195,,Texas Rangers,Oakland Athletics,William Hill (US)
Oakland Athletics,165,,Texas Rangers,Oakland Athletics,PointsBet (US)
Texas Rangers,-200,,Texas Rangers,Oakland Athletics,PointsBet (US)
Oakland Athletics,170,,Texas Rangers,Oakland Athletics,WynnBET
Texas Rangers,-185,,Texas Rangers,Oakland Athletics,WynnBET
Oakland Athletics,156,,Texas Rangers,Oakland Athletics,Bovada
Texas Rangers,-190,,Texas Rangers,Oakland Athletics,Bovada
Oakland Athletics,165,,Texas Rangers,Oakland Athletics,BetUS
Texas Rangers,-185,,Texas Rangers,Oakland Athletics,BetUS
Oakland Athletics,157,,Texas Rangers,Oakland Athletics,Circa Sports
Texas Rangers,-186,,Texas Rangers,Oakland Athletics,Circa Sports
Oakland Athletics,155,,Texas Rangers,Oakland Athletics,BetMGM
Texas Rangers,-190,,Texas Rangers,Oakland Athletics,BetMGM
Oakland Athletics,165,,Texas Rangers,Oakland Athletics,Unibet
Texas Rangers,-200,,Texas Rangers,Oakland Athletics,Unibet
Oakland Athletics,170,,Texas Rangers,Oakland Athletics,BetRivers
Texas Rangers,-195,,Texas Rangers,Oakland Athletics,BetRivers
Oakland Athletics,170,,Texas Rangers,Oakland Athletics,SugarHouse
Texas Rangers,-195,,Texas Rangers,Oakland Athletics,SugarHouse
Oakland Athletics,165,,Texas Rangers,Oakland Athletics,Barstool Sportsbook
Texas Rangers,-195,,Texas Rangers,Oakland Athletics,Barstool Sportsbook
Oakland Athletics,165,,Texas Rangers,Oakland Athletics,TwinSpires
Texas Rangers,-200,,Texas Rangers,Oakland Athletics,TwinSpires
Oakland Athletics,165,,Texas Rangers,Oakland Athletics,GTbets
Texas Rangers,-185,,Texas Rangers,Oakland Athletics,GTbets
Oakland Athletics,170,,Texas Rangers,Oakland Athletics,Intertops
Texas Rangers,-190,,Texas Rangers,Oakland Athletics,Intertops
Oakland Athletics,184,,Texas Rangers,Oakland Athletics,Betfair
Texas Rangers,-189,,Texas Rangers,Oakland Athletics,Betfair
