name,price,point,home_team,away_team,bookmakers.title
Chicago Cubs,168,,Chicago Cubs,St. Louis Cardinals,FanDuel
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,FanDuel
Chicago Cubs,174,,Chicago Cubs,St. Louis Cardinals,LowVig.ag
St. Louis Cardinals,-189,,Chicago Cubs,St. Louis Cardinals,LowVig.ag
Chicago Cubs,174,,Chicago Cubs,St. Louis Cardinals,BetOnline.ag
St. Louis Cardinals,-192,,Chicago Cubs,St. Louis Cardinals,BetOnline.ag
Chicago Cubs,170,,Chicago Cubs,St. Louis Cardinals,BetUS
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,BetUS
Chicago Cubs,170,,Chicago Cubs,St. Louis Cardinals,William Hill (US)
St. Louis Cardinals,-205,,Chicago Cubs,St. Louis Cardinals,William Hill (US)
Chicago Cubs,163,,Chicago Cubs,St. Louis Cardinals,FOX Bet
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,FOX Bet
Chicago Cubs,170,,Chicago Cubs,St. Louis Cardinals,Barstool Sportsbook
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,Barstool Sportsbook
Chicago Cubs,175,,Chicago Cubs,St. Louis Cardinals,BetRivers
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,BetRivers
Chicago Cubs,170,,Chicago Cubs,St. Louis Cardinals,TwinSpires
St. Louis Cardinals,-205,,Chicago Cubs,St. Louis Cardinals,TwinSpires
Chicago Cubs,175,,Chicago Cubs,St. Louis Cardinals,SugarHouse
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,SugarHouse
Chicago Cubs,170,,Chicago Cubs,St. Louis Cardinals,Unibet
St. Louis Cardinals,-204,,Chicago Cubs,St. Louis Cardinals,Unibet
Chicago Cubs,165,,Chicago Cubs,St. Louis Cardinals,Bovada
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,Bovada
Chicago Cubs,176,,Chicago Cubs,St. Louis Cardinals,Betfair
St. Louis Cardinals,-185,,Chicago Cubs,St. Louis Cardinals,Betfair
Chicago Cubs,184,,Chicago Cubs,St. Louis Cardinals,Betfair
St. Louis Cardinals,-175,,Chicago Cubs,St. Louis Cardinals,Betfair
Chicago Cubs,165,,Chicago Cubs,St. Louis Cardinals,PointsBet (US)
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,PointsBet (US)
Chicago Cubs,175,,Chicago Cubs,St. Louis Cardinals,DraftKings
St. Louis Cardinals,-205,,Chicago Cubs,St. Louis Cardinals,DraftKings
Chicago Cubs,169,,Chicago Cubs,St. Louis Cardinals,GTbets
St. Louis Cardinals,-189,,Chicago Cubs,St. Louis Cardinals,GTbets
Chicago Cubs,165,,Chicago Cubs,St. Louis Cardinals,BetMGM
St. Louis Cardinals,-200,,Chicago Cubs,St. Louis Cardinals,BetMGM
Atlanta Braves,-256,,Pittsburgh Pirates,Atlanta Braves,BetOnline.ag
Pittsburgh Pirates,225,,Pittsburgh Pirates,Atlanta Braves,BetOnline.ag
Atlanta Braves,-260,,Pittsburgh Pirates,Atlanta Braves,BetUS
Pittsburgh Pirates,210,,Pittsburgh Pirates,Atlanta Braves,BetUS
Atlanta Braves,-270,,Pittsburgh Pirates,Atlanta Braves,FanDuel
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,FanDuel
Atlanta Braves,-252,,Pittsburgh Pirates,Atlanta Braves,LowVig.ag
Pittsburgh Pirates,225,,Pittsburgh Pirates,Atlanta Braves,LowVig.ag
Atlanta Braves,-265,,Pittsburgh Pirates,Atlanta Braves,DraftKings
Pittsburgh Pirates,225,,Pittsburgh Pirates,Atlanta Braves,DraftKings
Atlanta Braves,-278,,Pittsburgh Pirates,Atlanta Braves,William Hill (US)
Pittsburgh Pirates,222,,Pittsburgh Pirates,Atlanta Braves,William Hill (US)
Atlanta Braves,-278,,Pittsburgh Pirates,Atlanta Braves,FOX Bet
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,FOX Bet
Atlanta Braves,-252,,Pittsburgh Pirates,Atlanta Braves,GTbets
Pittsburgh Pirates,212,,Pittsburgh Pirates,Atlanta Braves,GTbets
Atlanta Braves,-280,,Pittsburgh Pirates,Atlanta Braves,Bovada
Pittsburgh Pirates,225,,Pittsburgh Pirates,Atlanta Braves,Bovada
Atlanta Braves,-263,,Pittsburgh Pirates,Atlanta Braves,WynnBET
Pittsburgh Pirates,237,,Pittsburgh Pirates,Atlanta Braves,WynnBET
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,Circa Sports
Pittsburgh Pirates,208,,Pittsburgh Pirates,Atlanta Braves,Circa Sports
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,Unibet
Pittsburgh Pirates,210,,Pittsburgh Pirates,Atlanta Braves,Unibet
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,BetRivers
Pittsburgh Pirates,215,,Pittsburgh Pirates,Atlanta Braves,BetRivers
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,SugarHouse
Pittsburgh Pirates,215,,Pittsburgh Pirates,Atlanta Braves,SugarHouse
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,TwinSpires
Pittsburgh Pirates,210,,Pittsburgh Pirates,Atlanta Braves,TwinSpires
Atlanta Braves,-250,,Pittsburgh Pirates,Atlanta Braves,Barstool Sportsbook
Pittsburgh Pirates,210,,Pittsburgh Pirates,Atlanta Braves,Barstool Sportsbook
Atlanta Braves,-244,,Pittsburgh Pirates,Atlanta Braves,Betfair
Pittsburgh Pirates,235,,Pittsburgh Pirates,Atlanta Braves,Betfair
Atlanta Braves,-233,,Pittsburgh Pirates,Atlanta Braves,Betfair
Pittsburgh Pirates,245,,Pittsburgh Pirates,Atlanta Braves,Betfair
Atlanta Braves,-275,,Pittsburgh Pirates,Atlanta Braves,BetMGM
Pittsburgh Pirates,225,,Pittsburgh Pirates,Atlanta Braves,BetMGM
Atlanta Braves,-255,,Pittsburgh Pirates,Atlanta Braves,Intertops
Pittsburgh Pirates,220,,Pittsburgh Pirates,Atlanta Braves,Intertops
Baltimore Orioles,123,,Baltimore Orioles,Chicago White Sox,BetOnline.ag
Chicago White Sox,-133,,Baltimore Orioles,Chicago White Sox,BetOnline.ag
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,FanDuel
Chicago White Sox,-142,,Baltimore Orioles,Chicago White Sox,FanDuel
Baltimore Orioles,124,,Baltimore Orioles,Chicago White Sox,BetUS
Chicago White Sox,-134,,Baltimore Orioles,Chicago White Sox,BetUS
Baltimore Orioles,123,,Baltimore Orioles,Chicago White Sox,LowVig.ag
Chicago White Sox,-133,,Baltimore Orioles,Chicago White Sox,LowVig.ag
Baltimore Orioles,115,,Baltimore Orioles,Chicago White Sox,DraftKings
Chicago White Sox,-135,,Baltimore Orioles,Chicago White Sox,DraftKings
Baltimore Orioles,118,,Baltimore Orioles,Chicago White Sox,William Hill (US)
Chicago White Sox,-140,,Baltimore Orioles,Chicago White Sox,William Hill (US)
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,FOX Bet
Chicago White Sox,-143,,Baltimore Orioles,Chicago White Sox,FOX Bet
Baltimore Orioles,123,,Baltimore Orioles,Chicago White Sox,GTbets
Chicago White Sox,-133,,Baltimore Orioles,Chicago White Sox,GTbets
Baltimore Orioles,117,,Baltimore Orioles,Chicago White Sox,Bovada
Chicago White Sox,-140,,Baltimore Orioles,Chicago White Sox,Bovada
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,WynnBET
Chicago White Sox,-130,,Baltimore Orioles,Chicago White Sox,WynnBET
Baltimore Orioles,113,,Baltimore Orioles,Chicago White Sox,Circa Sports
Chicago White Sox,-134,,Baltimore Orioles,Chicago White Sox,Circa Sports
Baltimore Orioles,115,,Baltimore Orioles,Chicago White Sox,PointsBet (US)
Chicago White Sox,-136,,Baltimore Orioles,Chicago White Sox,PointsBet (US)
Baltimore Orioles,118,,Baltimore Orioles,Chicago White Sox,Unibet
Chicago White Sox,-141,,Baltimore Orioles,Chicago White Sox,Unibet
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,BetRivers
Chicago White Sox,-137,,Baltimore Orioles,Chicago White Sox,BetRivers
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,Barstool Sportsbook
Chicago White Sox,-139,,Baltimore Orioles,Chicago White Sox,Barstool Sportsbook
Baltimore Orioles,118,,Baltimore Orioles,Chicago White Sox,TwinSpires
Chicago White Sox,-141,,Baltimore Orioles,Chicago White Sox,TwinSpires
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,SugarHouse
Chicago White Sox,-137,,Baltimore Orioles,Chicago White Sox,SugarHouse
Baltimore Orioles,120,,Baltimore Orioles,Chicago White Sox,BetMGM
Chicago White Sox,-145,,Baltimore Orioles,Chicago White Sox,BetMGM
Baltimore Orioles,126,,Baltimore Orioles,Chicago White Sox,Betfair
Chicago White Sox,-130,,Baltimore Orioles,Chicago White Sox,Betfair
