name,price,point,home_team,away_team,bookmakers.title
Arizona Diamondbacks,170,,Los Angeles Dodgers,Arizona Diamondbacks,Unibet
Los Angeles Dodgers,-208,,Los Angeles Dodgers,Arizona Diamondbacks,Unibet
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,FOX Bet
Los Angeles Dodgers,-213,,Los Angeles Dodgers,Arizona Diamondbacks,FOX Bet
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,DraftKings
Los Angeles Dodgers,-205,,Los Angeles Dodgers,Arizona Diamondbacks,DraftKings
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,Barstool Sportsbook
Los Angeles Dodgers,-205,,Los Angeles Dodgers,Arizona Diamondbacks,Barstool Sportsbook
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,SugarHouse
Los Angeles Dodgers,-200,,Los Angeles Dodgers,Arizona Diamondbacks,SugarHouse
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,BetRivers
Los Angeles Dodgers,-200,,Los Angeles Dodgers,Arizona Diamondbacks,BetRivers
Arizona Diamondbacks,178,,Los Angeles Dodgers,Arizona Diamondbacks,MyBookie.ag
Los Angeles Dodgers,-212,,Los Angeles Dodgers,Arizona Diamondbacks,MyBookie.ag
Arizona Diamondbacks,170,,Los Angeles Dodgers,Arizona Diamondbacks,TwinSpires
Los Angeles Dodgers,-210,,Los Angeles Dodgers,Arizona Diamondbacks,TwinSpires
Arizona Diamondbacks,184,,Los Angeles Dodgers,Arizona Diamondbacks,Betfair
Los Angeles Dodgers,-189,,Los Angeles Dodgers,Arizona Diamondbacks,Betfair
Arizona Diamondbacks,190,,Los Angeles Dodgers,Arizona Diamondbacks,Betfair
Los Angeles Dodgers,-185,,Los Angeles Dodgers,Arizona Diamondbacks,Betfair
Arizona Diamondbacks,180,,Los Angeles Dodgers,Arizona Diamondbacks,FanDuel
Los Angeles Dodgers,-215,,Los Angeles Dodgers,Arizona Diamondbacks,FanDuel
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,William Hill (US)
Los Angeles Dodgers,-210,,Los Angeles Dodgers,Arizona Diamondbacks,William Hill (US)
Arizona Diamondbacks,170,,Los Angeles Dodgers,Arizona Diamondbacks,Bovada
Los Angeles Dodgers,-210,,Los Angeles Dodgers,Arizona Diamondbacks,Bovada
Arizona Diamondbacks,179,,Los Angeles Dodgers,Arizona Diamondbacks,LowVig.ag
Los Angeles Dodgers,-195,,Los Angeles Dodgers,Arizona Diamondbacks,LowVig.ag
Arizona Diamondbacks,179,,Los Angeles Dodgers,Arizona Diamondbacks,BetOnline.ag
Los Angeles Dodgers,-196,,Los Angeles Dodgers,Arizona Diamondbacks,BetOnline.ag
Arizona Diamondbacks,175,,Los Angeles Dodgers,Arizona Diamondbacks,GTbets
Los Angeles Dodgers,-195,,Los Angeles Dodgers,Arizona Diamondbacks,GTbets
Arizona Diamondbacks,170,,Los Angeles Dodgers,Arizona Diamondbacks,BetUS
Los Angeles Dodgers,-200,,Los Angeles Dodgers,Arizona Diamondbacks,BetUS
Arizona Diamondbacks,170,,Los Angeles Dodgers,Arizona Diamondbacks,BetMGM
Los Angeles Dodgers,-200,,Los Angeles Dodgers,Arizona Diamondbacks,BetMGM
Arizona Diamondbacks,190,,Los Angeles Dodgers,Arizona Diamondbacks,Circa Sports
Los Angeles Dodgers,-228,,Los Angeles Dodgers,Arizona Diamondbacks,Circa Sports
Arizona Diamondbacks,180,,Los Angeles Dodgers,Arizona Diamondbacks,SuperBook
Los Angeles Dodgers,-200,,Los Angeles Dodgers,Arizona Diamondbacks,SuperBook
Boston Red Sox,-125,,Cincinnati Reds,Boston Red Sox,DraftKings
Cincinnati Reds,105,,Cincinnati Reds,Boston Red Sox,DraftKings
Boston Red Sox,-125,,Cincinnati Reds,Boston Red Sox,William Hill (US)
Cincinnati Reds,105,,Cincinnati Reds,Boston Red Sox,William Hill (US)
Boston Red Sox,-126,,Cincinnati Reds,Boston Red Sox,FanDuel
Cincinnati Reds,108,,Cincinnati Reds,Boston Red Sox,FanDuel
Boston Red Sox,-123,,Cincinnati Reds,Boston Red Sox,BetOnline.ag
Cincinnati Reds,113,,Cincinnati Reds,Boston Red Sox,BetOnline.ag
Boston Red Sox,-133,,Cincinnati Reds,Boston Red Sox,FOX Bet
Cincinnati Reds,110,,Cincinnati Reds,Boston Red Sox,FOX Bet
Boston Red Sox,-123,,Cincinnati Reds,Boston Red Sox,LowVig.ag
Cincinnati Reds,113,,Cincinnati Reds,Boston Red Sox,LowVig.ag
Boston Red Sox,-130,,Cincinnati Reds,Boston Red Sox,Bovada
Cincinnati Reds,108,,Cincinnati Reds,Boston Red Sox,Bovada
Boston Red Sox,-123,,Cincinnati Reds,Boston Red Sox,BetUS
Cincinnati Reds,113,,Cincinnati Reds,Boston Red Sox,BetUS
Boston Red Sox,-123,,Cincinnati Reds,Boston Red Sox,GTbets
Cincinnati Reds,113,,Cincinnati Reds,Boston Red Sox,GTbets
Boston Red Sox,-125,,Cincinnati Reds,Boston Red Sox,Circa Sports
Cincinnati Reds,106,,Cincinnati Reds,Boston Red Sox,Circa Sports
Boston Red Sox,-125,,Cincinnati Reds,Boston Red Sox,BetMGM
Cincinnati Reds,105,,Cincinnati Reds,Boston Red Sox,BetMGM
Boston Red Sox,-118,,Cincinnati Reds,Boston Red Sox,Betfair
Cincinnati Reds,114,,Cincinnati Reds,Boston Red Sox,Betfair
Boston Red Sox,-115,,Cincinnati Reds,Boston Red Sox,Betfair
Cincinnati Reds,118,,Cincinnati Reds,Boston Red Sox,Betfair
Boston Red Sox,-123,,Cincinnati Reds,Boston Red Sox,SuperBook
Cincinnati Reds,113,,Cincinnati Reds,Boston Red Sox,SuperBook
Boston Red Sox,-124,,Cincinnati Reds,Boston Red Sox,BetRivers
Cincinnati Reds,108,,Cincinnati Reds,Boston Red Sox,BetRivers
Boston Red Sox,-124,,Cincinnati Reds,Boston Red Sox,SugarHouse
Cincinnati Reds,108,,Cincinnati Reds,Boston Red Sox,SugarHouse
Boston Red Sox,-125,,Cincinnati Reds,Boston Red Sox,TwinSpires
Cincinnati Reds,107,,Cincinnati Reds,Boston Red Sox,TwinSpires
Boston Red Sox,-124,,Cincinnati Reds,Boston Red Sox,Barstool Sportsbook
Cincinnati Reds,108,,Cincinnati Reds,Boston Red Sox,Barstool Sportsbook
Boston Red Sox,-125,,Cincinnati Reds,Boston Red Sox,Unibet
Cincinnati Reds,107,,Cincinnati Reds,Boston Red Sox,Unibet
Boston Red Sox,-120,,Cincinnati Reds,Boston Red Sox,WynnBET
Cincinnati Reds,110,,Cincinnati Reds,Boston Red Sox,WynnBET
Boston Red Sox,-122,,Cincinnati Reds,Boston Red Sox,Intertops
Cincinnati Reds,112,,Cincinnati Reds,Boston Red Sox,Intertops
Houston Astros,126,,Tampa Bay Rays,Houston Astros,Bovada
Tampa Bay Rays,-150,,Tampa Bay Rays,Houston Astros,Bovada
Houston Astros,130,,Tampa Bay Rays,Houston Astros,DraftKings
Tampa Bay Rays,-150,,Tampa Bay Rays,Houston Astros,DraftKings
Houston Astros,126,,Tampa Bay Rays,Houston Astros,FanDuel
Tampa Bay Rays,-148,,Tampa Bay Rays,Houston Astros,FanDuel
Houston Astros,130,,Tampa Bay Rays,Houston Astros,William Hill (US)
Tampa Bay Rays,-155,,Tampa Bay Rays,Houston Astros,William Hill (US)
Houston Astros,130,,Tampa Bay Rays,Houston Astros,FOX Bet
Tampa Bay Rays,-154,,Tampa Bay Rays,Houston Astros,FOX Bet
Houston Astros,136,,Tampa Bay Rays,Houston Astros,BetOnline.ag
Tampa Bay Rays,-147,,Tampa Bay Rays,Houston Astros,BetOnline.ag
Houston Astros,136,,Tampa Bay Rays,Houston Astros,LowVig.ag
Tampa Bay Rays,-147,,Tampa Bay Rays,Houston Astros,LowVig.ag
Houston Astros,133,,Tampa Bay Rays,Houston Astros,BetUS
Tampa Bay Rays,-148,,Tampa Bay Rays,Houston Astros,BetUS
Houston Astros,135,,Tampa Bay Rays,Houston Astros,GTbets
Tampa Bay Rays,-147,,Tampa Bay Rays,Houston Astros,GTbets
Houston Astros,127,,Tampa Bay Rays,Houston Astros,Circa Sports
Tampa Bay Rays,-152,,Tampa Bay Rays,Houston Astros,Circa Sports
