team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
TBR,3.8454291201358273,0.4862461662062046,105.6571484773261,TBR,-210,Tampa Bay Rays,Los Angeles Angels,Bovada,-115.6571484773261,7.798132758879586
LAA,3.952703638743759,0.5137538337937954,-105.65714847732607,LAA,170,Tampa Bay Rays,Los Angeles Angels,Bovada,75.65714847732607,7.798132758879586
CHC,4.491819883531528,0.4489486948320717,122.74260099454077,CHC,-115,Chicago Cubs,St. Louis Cardinals,Bovada,-37.742600994540766,9.468273886563544
STL,4.976454003032015,0.5510513051679283,-122.7426009945408,STL,-105,Chicago Cubs,St. Louis Cardinals,Bovada,17.742600994540794,9.468273886563544
SEA,3.994341228535801,0.4535923756826495,120.46225942290488,SEA,-105,Seattle Mariners,Cleveland Guardians,Bovada,-25.46225942290488,8.378342438621246
CLE,4.384001210085445,0.5464076243173506,-120.46225942290488,CLE,-115,Seattle Mariners,Cleveland Guardians,Bovada,5.462259422904879,8.378342438621246
PHI,4.028615837714684,0.5201426550895284,-108.39526801169896,PHI,-360,Philadelphia Phillies,Cincinnati Reds,Bovada,-251.60473198830104,7.898078799532485
CIN,3.869462961817801,0.4798573449104716,108.39526801169892,CIN,280,Philadelphia Phillies,Cincinnati Reds,Bovada,171.60473198830107,7.898078799532485
BAL,3.919179550115301,0.4337394234543711,130.55317223318966,BAL,-102,Baltimore Orioles,Chicago White Sox,Bovada,-32.553172233189656,8.397228894391398
CHW,4.478049344276098,0.5662605765456289,-130.55317223318966,CHW,-118,Baltimore Orioles,Chicago White Sox,Bovada,12.553172233189656,8.397228894391398
NYM,4.868578119086543,0.8620918421947144,-625.1202654827086,NYM,-440,New York Mets,Colorado Rockies,Bovada,185.12026548270865,6.8158220267501335
COL,1.9472439076635912,0.1379081578052856,625.1202654827086,COL,330,New York Mets,Colorado Rockies,Bovada,-295.12026548270865,6.8158220267501335
BOS,3.898312417865719,0.3545675423552099,182.03371164701488,BOS,148,Boston Red Sox,Toronto Blue Jays,Bovada,-34.03371164701488,9.15791044169037
TOR,5.259598023824651,0.6454324576447901,-182.03371164701483,TOR,-180,Boston Red Sox,Toronto Blue Jays,Bovada,2.033711647014826,9.15791044169037
HOU,4.81187462815995,0.5052925837693447,-102.13968240446876,HOU,-180,Houston Astros,Minnesota Twins,Bovada,-77.86031759553124,9.573081501227202
MIN,4.761206873067252,0.4947074162306554,102.13968240446872,MIN,148,Houston Astros,Minnesota Twins,Bovada,45.860317595531285,9.573081501227202
OAK,3.3101895478231587,0.2872482352593211,248.1309464259104,OAK,175,Oakland Athletics,New York Yankees,Bovada,-73.1309464259104,8.524457307919917
NYY,5.2142677600967575,0.7127517647406789,-248.1309464259104,NYY,-215,Oakland Athletics,New York Yankees,Bovada,33.130946425910395,8.524457307919917
