team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
PIT,3.3999517085241138,0.3052849053717871,227.562870749264,PIT,205,Pittsburgh Pirates,New York Mets,Bovada,-22.562870749263993,6.7999034170482275
PIT,3.3999517085241138,0.3052849053717871,227.562870749264,PIT,285,Pittsburgh Pirates,New York Mets,Bovada,57.43712925073601,6.7999034170482275
NYM,5.128890775629134,0.6947150946282128,-227.56287074926396,NYM,-250,Pittsburgh Pirates,New York Mets,Bovada,-22.437129250736035,10.257781551258269
NYM,5.128890775629134,0.6947150946282128,-227.56287074926396,NYM,-370,Pittsburgh Pirates,New York Mets,Bovada,-142.43712925073604,10.257781551258269
NYY,4.864103214007308,0.5432247046188489,-118.92602557797284,NYY,-150,New York Yankees,Minnesota Twins,Bovada,-31.073974422027163,9.728206428014616
NYY,4.864103214007308,0.5432247046188489,-118.92602557797284,NYY,-200,New York Yankees,Minnesota Twins,Bovada,-81.07397442202716,9.728206428014616
MIN,4.460302658628312,0.4567752953811512,118.92602557797282,MIN,126,New York Yankees,Minnesota Twins,Bovada,7.073974422027177,8.920605317256625
MIN,4.460302658628312,0.4567752953811512,118.92602557797282,MIN,165,New York Yankees,Minnesota Twins,Bovada,46.07397442202718,8.920605317256625
NYY,4.607898700897836,0.5198399232381519,-108.2638787347546,NYY,-150,New York Yankees,Minnesota Twins,Bovada,-41.7361212652454,9.215797401795673
NYY,4.607898700897836,0.5198399232381519,-108.2638787347546,NYY,-200,New York Yankees,Minnesota Twins,Bovada,-91.7361212652454,9.215797401795673
MIN,4.428545712203956,0.4801600767618481,108.2638787347546,MIN,126,New York Yankees,Minnesota Twins,Bovada,17.7361212652454,8.857091424407912
MIN,4.428545712203956,0.4801600767618481,108.2638787347546,MIN,165,New York Yankees,Minnesota Twins,Bovada,56.7361212652454,8.857091424407912
COL,4.005695912916306,0.4069747746116525,145.71547486062985,COL,115,Colorado Rockies,Milwaukee Brewers,Bovada,-30.715474860629854,8.84107820030778
MIL,4.835382287391473,0.5930252253883475,-145.71547486062985,MIL,-138,Colorado Rockies,Milwaukee Brewers,Bovada,7.715474860629854,8.84107820030778
OAK,3.2156430922791897,0.3599974151917318,177.7797722429223,OAK,225,Oakland Athletics,Atlanta Braves,Bovada,47.22022775707771,7.503191265830897
ATL,4.287548173551707,0.6400025848082681,-177.77977224292223,ATL,-280,Oakland Athletics,Atlanta Braves,Bovada,-102.22022775707777,7.503191265830897
LAA,3.910229707199449,0.5836881756090471,-140.20456336135993,LAA,-200,Los Angeles Angels,Detroit Tigers,Bovada,-59.79543663864007,7.212565230251203
DET,3.3023355230517537,0.4163118243909529,140.20456336135993,DET,165,Los Angeles Angels,Detroit Tigers,Bovada,24.79543663864007,7.212565230251203
LAD,5.204277768378705,0.6200636333716555,-163.2019695493389,LAD,-250,Los Angeles Dodgers,San Francisco Giants,Bovada,-86.79803045066109,9.278059631748803
SFG,4.073781863370098,0.3799363666283445,163.20196954933888,SFG,205,Los Angeles Dodgers,San Francisco Giants,Bovada,41.798030450661116,9.278059631748803
SEA,4.284823987865955,0.4789760801499314,108.77869301677345,SEA,-195,Seattle Mariners,Chicago White Sox,Bovada,-103.77869301677345,8.753767908600345
CHW,4.4689439207343895,0.5210239198500687,-108.77869301677347,CHW,160,Seattle Mariners,Chicago White Sox,Bovada,68.77869301677347,8.753767908600345
PIT,1.4596497615660518,0.0828154967244327,1107.5034740508588,PIT,205,Pittsburgh Pirates,New York Mets,Bovada,-902.5034740508588,2.9192995231321035
PIT,1.4596497615660518,0.0828154967244327,1107.5034740508588,PIT,285,Pittsburgh Pirates,New York Mets,Bovada,-822.5034740508588,2.9192995231321035
NYM,4.857593953302861,0.9171845032755672,-1107.5034740508593,NYM,-250,Pittsburgh Pirates,New York Mets,Bovada,857.5034740508593,9.715187906605722
NYM,4.857593953302861,0.9171845032755672,-1107.5034740508593,NYM,-370,Pittsburgh Pirates,New York Mets,Bovada,737.5034740508593,9.715187906605722
