team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison
CIN,3.894207958140087,0.4180928299630222,139.18133207126365,CIN,150,Cincinnati Reds,Philadelphia Phillies,Betfair,10.818667928736346
PHI,4.594197216089873,0.5819071700369777,-139.18133207126365,PHI,-145,Cincinnati Reds,Philadelphia Phillies,Betfair,-5.818667928736346
WSN,3.642132392268966,0.4016278536371743,148.98671517523482,WSN,150,Washington Nationals,Chicago Cubs,Betfair,1.0132848247651793
CHC,4.445590963138226,0.5983721463628258,-148.98671517523482,CHC,-145,Washington Nationals,Chicago Cubs,Betfair,3.9867151752348207
MIN,4.394343417489902,0.5155102793502582,-106.40272793794574,MIN,-182,Minnesota Twins,Kansas City Royals,Betfair,-75.59727206205426
KCR,4.26007860658753,0.4844897206497418,106.40272793794576,KCR,188,Minnesota Twins,Kansas City Royals,Betfair,81.59727206205424
TOR,4.954681354285336,0.5903138234974088,-144.08927060629665,TOR,-152,Toronto Blue Jays,Baltimore Orioles,Betfair,-7.910729393703349
BAL,4.127621898642342,0.4096861765025912,144.08927060629665,BAL,156,Toronto Blue Jays,Baltimore Orioles,Betfair,11.910729393703349
LAA,3.1965205124288048,0.3969986120123279,151.89004942136853,LAA,178,Los Angeles Angels,Seattle Mariners,Betfair,26.10995057863147
SEA,3.9395095480679214,0.6030013879876721,-151.89004942136856,SEA,-175,Los Angeles Angels,Seattle Mariners,Betfair,-23.10995057863144
MIA,3.7650178258351623,0.4417627003311071,126.36587454089864,MIA,146,Miami Marlins,San Diego Padres,Betfair,19.634125459101355
SDP,4.2323535602379145,0.5582372996688929,-126.36587454089867,SDP,-143,Miami Marlins,San Diego Padres,Betfair,-16.634125459101327
PIT,3.8909410544312224,0.4807544080780556,108.00641308683312,PIT,152,Pittsburgh Pirates,Boston Red Sox,Betfair,43.99358691316688
BOS,4.043704610438361,0.5192455919219444,-108.0064130868332,BOS,-145,Pittsburgh Pirates,Boston Red Sox,Betfair,-36.993586913166794
NYY,4.878666599365754,0.6088759988510488,-155.67339183032428,NYY,-123,New York Yankees,Tampa Bay Rays,Betfair,32.67339183032428
TBR,3.910154754953751,0.3911240011489512,155.67339183032425,TBR,128,New York Yankees,Tampa Bay Rays,Betfair,-27.67339183032425
CLE,4.571860099158606,0.6701162429773424,-203.1370835064536,CLE,-192,Cleveland Guardians,Detroit Tigers,Betfair,11.137083506453592
DET,3.2077338410260925,0.3298837570226576,203.1370835064536,DET,196,Cleveland Guardians,Detroit Tigers,Betfair,-7.1370835064535925
ATL,4.237782946140867,0.4252056363001731,135.1803256187441,ATL,146,Atlanta Braves,New York Mets,Betfair,10.819674381255908
NYM,4.927146245859127,0.5747943636998268,-135.1803256187441,NYM,-141,Atlanta Braves,New York Mets,Circa Sports,-5.819674381255908
STL,4.845968202855679,0.5368865512055377,-115.92981214497556,STL,-185,St. Louis Cardinals,Colorado Rockies,Betfair,-69.07018785502444
COL,4.5007303504696745,0.4631134487944623,115.92981214497551,COL,190,St. Louis Cardinals,Colorado Rockies,Betfair,74.07018785502449
TEX,4.815690927717284,0.6781947905815985,-210.7469893999851,TEX,-145,Texas Rangers,Oakland Athletics,Betfair,65.7469893999851
OAK,3.3172478124880267,0.3218052094184015,210.746989399985,OAK,150,Texas Rangers,Oakland Athletics,Betfair,-60.74698939998501
CHW,4.224575429225463,0.4464529982750464,123.98774425609965,CHW,142,Chicago White Sox,Houston Astros,Betfair,18.012255743900354
HOU,4.70405562081598,0.5535470017249536,-123.98774425609967,HOU,-137,Chicago White Sox,Houston Astros,Betfair,-13.012255743900326
MIL,4.3502509521218,0.4376440057988663,128.49621764489166,MIL,170,Milwaukee Brewers,Los Angeles Dodgers,Betfair,41.50378235510834
LAD,4.931277958242039,0.5623559942011336,-128.49621764489163,LAD,-164,Milwaukee Brewers,Los Angeles Dodgers,WynnBET,-35.50378235510837
SFG,4.435911689065232,0.5419201955117833,-118.30257308925376,SFG,-196,San Francisco Giants,Arizona Diamondbacks,Betfair,-77.69742691074624
ARI,4.078362230984053,0.4580798044882167,118.30257308925376,ARI,205,San Francisco Giants,Arizona Diamondbacks,Betfair,86.69742691074624
