name,price,point,home_team,away_team,bookmakers.title
New York Mets,-278,,Pittsburgh Pirates,New York Mets,FOX Bet
Pittsburgh Pirates,200,,Pittsburgh Pirates,New York Mets,FOX Bet
New York Mets,-270,,Pittsburgh Pirates,New York Mets,FanDuel
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,FanDuel
New York Mets,-255,,Pittsburgh Pirates,New York Mets,DraftKings
Pittsburgh Pirates,215,,Pittsburgh Pirates,New York Mets,DraftKings
New York Mets,-233,,Pittsburgh Pirates,New York Mets,Betfair
Pittsburgh Pirates,225,,Pittsburgh Pirates,New York Mets,Betfair
New York Mets,-227,,Pittsburgh Pirates,New York Mets,Betfair
Pittsburgh Pirates,235,,Pittsburgh Pirates,New York Mets,Betfair
New York Mets,-245,,Pittsburgh Pirates,New York Mets,LowVig.ag
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,LowVig.ag
New York Mets,-260,,Pittsburgh Pirates,New York Mets,William Hill (US)
Pittsburgh Pirates,210,,Pittsburgh Pirates,New York Mets,William Hill (US)
New York Mets,-245,,Pittsburgh Pirates,New York Mets,BetUS
Pittsburgh Pirates,205,,Pittsburgh Pirates,New York Mets,BetUS
New York Mets,-250,,Pittsburgh Pirates,New York Mets,BetOnline.ag
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,BetOnline.ag
New York Mets,-250,,Pittsburgh Pirates,New York Mets,BetMGM
Pittsburgh Pirates,200,,Pittsburgh Pirates,New York Mets,BetMGM
New York Mets,-240,,Pittsburgh Pirates,New York Mets,SuperBook
Pittsburgh Pirates,210,,Pittsburgh Pirates,New York Mets,SuperBook
New York Mets,-265,,Pittsburgh Pirates,New York Mets,SugarHouse
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,SugarHouse
New York Mets,-275,,Pittsburgh Pirates,New York Mets,Barstool Sportsbook
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,Barstool Sportsbook
New York Mets,-278,,Pittsburgh Pirates,New York Mets,TwinSpires
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,TwinSpires
New York Mets,-265,,Pittsburgh Pirates,New York Mets,BetRivers
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,BetRivers
New York Mets,-278,,Pittsburgh Pirates,New York Mets,Unibet
Pittsburgh Pirates,220,,Pittsburgh Pirates,New York Mets,Unibet
New York Mets,-250,,Pittsburgh Pirates,New York Mets,Bovada
Pittsburgh Pirates,205,,Pittsburgh Pirates,New York Mets,Bovada
New York Mets,-245,,Pittsburgh Pirates,New York Mets,GTbets
Pittsburgh Pirates,210,,Pittsburgh Pirates,New York Mets,GTbets
Minnesota Twins,128,,New York Yankees,Minnesota Twins,FanDuel
New York Yankees,-152,,New York Yankees,Minnesota Twins,FanDuel
Minnesota Twins,125,,New York Yankees,Minnesota Twins,DraftKings
New York Yankees,-145,,New York Yankees,Minnesota Twins,DraftKings
Minnesota Twins,120,,New York Yankees,Minnesota Twins,Circa Sports
New York Yankees,-141,,New York Yankees,Minnesota Twins,Circa Sports
Minnesota Twins,130,,New York Yankees,Minnesota Twins,William Hill (US)
New York Yankees,-155,,New York Yankees,Minnesota Twins,William Hill (US)
Minnesota Twins,134,,New York Yankees,Minnesota Twins,SuperBook
New York Yankees,-144,,New York Yankees,Minnesota Twins,SuperBook
Minnesota Twins,138,,New York Yankees,Minnesota Twins,Betfair
New York Yankees,-143,,New York Yankees,Minnesota Twins,Betfair
Minnesota Twins,142,,New York Yankees,Minnesota Twins,Betfair
New York Yankees,-137,,New York Yankees,Minnesota Twins,Betfair
Minnesota Twins,135,,New York Yankees,Minnesota Twins,BetRivers
New York Yankees,-155,,New York Yankees,Minnesota Twins,BetRivers
Minnesota Twins,135,,New York Yankees,Minnesota Twins,SugarHouse
New York Yankees,-155,,New York Yankees,Minnesota Twins,SugarHouse
Minnesota Twins,133,,New York Yankees,Minnesota Twins,Barstool Sportsbook
