team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
MIA,3.328928536692424,0.2834364942851837,252.81271824997788,MIA,205.0,Miami Marlins,Los Angeles Dodgers,Bovada,-47.81271824997788,8.621953365491233
LAD,5.293024828798809,0.7165635057148163,-252.81271824997796,LAD,-250.0,Miami Marlins,Los Angeles Dodgers,Bovada,2.812718249977962,8.621953365491233
WSN,3.905183214296604,0.4449207465910736,124.75913017360357,,,,,,-24.759130173603566,8.267102078144175
CIN,4.3619188638475705,0.5550792534089263,-124.75913017360352,,,,,,24.759130173603523,8.267102078144175
BOS,4.181701284492962,0.500894093086986,-100.35827790238588,BOS,-110.0,Boston Red Sox,Tampa Bay Rays,Bovada,-9.641722097614121,8.355931582350486
TBR,4.174230297857525,0.499105906913014,100.35827790238588,TBR,-110.0,Boston Red Sox,Tampa Bay Rays,Bovada,-10.358277902385879,8.355931582350486
PHI,4.422925601128821,0.5791741305033308,-137.62797691027282,PHI,-265.0,Philadelphia Phillies,Pittsburgh Pirates,Bovada,-127.37202308972718,8.193055128004747
PIT,3.770129526875926,0.4208258694966693,137.62797691027276,PIT,215.0,Philadelphia Phillies,Pittsburgh Pirates,Bovada,77.37202308972724,8.193055128004747
TOR,5.486949855664465,0.6814922918045545,-213.9641441224936,TOR,-250.0,Toronto Blue Jays,Los Angeles Angels,Bovada,-36.03585587750641,9.23806582374701
LAA,3.751115968082547,0.3185077081954454,213.96414412249368,LAA,205.0,Toronto Blue Jays,Los Angeles Angels,Bovada,-8.964144122493678,9.23806582374701
NYM,4.703729825435783,0.5570108859418702,-125.73918145283776,NYM,-345.0,New York Mets,Colorado Rockies,Bovada,-219.26081854716224,8.898489208837688
COL,4.194759383401906,0.4429891140581297,125.7391814528378,COL,270.0,New York Mets,Colorado Rockies,Bovada,144.26081854716222,8.898489208837688
HOU,4.716723861040056,0.6127717439993038,-158.24561728217532,HOU,-245.0,Houston Astros,Baltimore Orioles,Bovada,-86.75438271782468,8.466234636095717
BAL,3.749510775055661,0.3872282560006962,158.24561728217532,BAL,200.0,Houston Astros,Baltimore Orioles,Bovada,41.75438271782468,8.466234636095717
KCR,3.796763698175432,0.4250941759299494,135.24199027482993,KCR,165.0,Kansas City Royals,San Diego Padres,Bovada,29.75800972517007,8.212156498829327
SDP,4.415392800653895,0.5749058240700506,-135.24199027482996,SDP,-200.0,Kansas City Royals,San Diego Padres,Bovada,-64.75800972517004,8.212156498829327
MIN,4.252548884608748,0.4351595458171895,129.80077298364031,MIN,-115.0,Minnesota Twins,San Francisco Giants,Bovada,-44.800772983640314,9.097483875343137
SFG,4.844934990734389,0.5648404541828105,-129.80077298364031,SFG,-105.0,Minnesota Twins,San Francisco Giants,Bovada,24.800772983640314,9.097483875343137
CHW,4.386141786084584,0.5619203535400857,-128.26899356793177,CHW,-190.0,Chicago White Sox,Arizona Diamondbacks,Bovada,-61.73100643206823,8.258912834116131
ARI,3.8727710480315474,0.4380796464599142,128.26899356793177,ARI,156.0,Chicago White Sox,Arizona Diamondbacks,Bovada,27.731006432068227,8.258912834116131
MIL,4.582878103438185,0.5632692332454818,-128.9740215536703,MIL,-165.0,Milwaukee Brewers,Chicago Cubs,Bovada,-36.0259784463297,8.618283635300624
CHC,4.03540553186244,0.4367307667545181,128.97402155367033,CHC,139.0,Milwaukee Brewers,Chicago Cubs,Bovada,10.025978446329674,8.618283635300624
TEX,4.610029579360206,0.7222595056372307,-260.04832579215304,TEX,-165.0,Texas Rangers,Detroit Tigers,Bovada,95.04832579215304,7.468782892329011
DET,2.8587533129688047,0.2777404943627692,260.04832579215304,DET,139.0,Texas Rangers,Detroit Tigers,Bovada,-121.04832579215304,7.468782892329011
OAK,3.079114730202344,0.2717107984955717,268.03837224610623,OAK,170.0,Oakland Athletics,New York Yankees,Bovada,-98.03837224610623,8.120203641420208
NYY,5.041088911217864,0.7282892015044282,-268.0383722461062,NYY,-210.0,Oakland Athletics,New York Yankees,Bovada,58.03837224610618,8.120203641420208
SEA,4.33503671302452,0.514394962034225,-105.92867079572576,SEA,-150.0,Seattle Mariners,Cleveland Guardians,Bovada,-44.071329204274235,8.547013979270439
CLE,4.211977266245919,0.485605037965775,105.9286707957258,CLE,126.0,Seattle Mariners,Cleveland Guardians,Bovada,20.071329204274207,8.547013979270439
STL,5.0361403984144255,0.4965277204314604,101.39862465907132,STL,-130.0,St. Louis Cardinals,Atlanta Braves,Bovada,-31.398624659071317,10.107376858133554
ATL,5.071236459719128,0.5034722795685397,-101.39862465907136,ATL,108.0,St. Louis Cardinals,Atlanta Braves,Bovada,9.39862465907136,10.107376858133554
