name,price,point,home_team,away_team,bookmakers.title
Chicago Cubs,185,,Chicago Cubs,Milwaukee Brewers,DraftKings
Milwaukee Brewers,-230,,Chicago Cubs,Milwaukee Brewers,DraftKings
Chicago Cubs,194,,Chicago Cubs,Milwaukee Brewers,FanDuel
Milwaukee Brewers,-260,,Chicago Cubs,Milwaukee Brewers,FanDuel
Chicago Cubs,188,,Chicago Cubs,Milwaukee Brewers,FOX Bet
Milwaukee Brewers,-278,,Chicago Cubs,Milwaukee Brewers,FOX Bet
Chicago Cubs,175,,Chicago Cubs,Milwaukee Brewers,Bovada
Milwaukee Brewers,-230,,Chicago Cubs,Milwaukee Brewers,Bovada
Chicago Cubs,186,,Chicago Cubs,Milwaukee Brewers,GTbets
Milwaukee Brewers,-246,,Chicago Cubs,Milwaukee Brewers,GTbets
Chicago Cubs,199,,Chicago Cubs,Milwaukee Brewers,Circa Sports
Milwaukee Brewers,-239,,Chicago Cubs,Milwaukee Brewers,Circa Sports
Chicago Cubs,190,,Chicago Cubs,Milwaukee Brewers,PointsBet (US)
Milwaukee Brewers,-261,,Chicago Cubs,Milwaukee Brewers,PointsBet (US)
Chicago Cubs,170,,Chicago Cubs,Milwaukee Brewers,BetMGM
Milwaukee Brewers,-225,,Chicago Cubs,Milwaukee Brewers,BetMGM
Chicago Cubs,190,,Chicago Cubs,Milwaukee Brewers,Unibet
Milwaukee Brewers,-244,,Chicago Cubs,Milwaukee Brewers,Unibet
Chicago Cubs,190,,Chicago Cubs,Milwaukee Brewers,TwinSpires
Milwaukee Brewers,-245,,Chicago Cubs,Milwaukee Brewers,TwinSpires
Chicago Cubs,190,,Chicago Cubs,Milwaukee Brewers,SugarHouse
Milwaukee Brewers,-245,,Chicago Cubs,Milwaukee Brewers,SugarHouse
Chicago Cubs,190,,Chicago Cubs,Milwaukee Brewers,Barstool Sportsbook
Milwaukee Brewers,-245,,Chicago Cubs,Milwaukee Brewers,Barstool Sportsbook
Chicago Cubs,182,,Chicago Cubs,Milwaukee Brewers,Betfair
Milwaukee Brewers,-227,,Chicago Cubs,Milwaukee Brewers,Betfair
Chicago Cubs,230,,Chicago Cubs,Milwaukee Brewers,Betfair
Milwaukee Brewers,-182,,Chicago Cubs,Milwaukee Brewers,Betfair
Baltimore Orioles,-101,,Baltimore Orioles,Boston Red Sox,BetOnline.ag
Boston Red Sox,-110,,Baltimore Orioles,Boston Red Sox,BetOnline.ag
Baltimore Orioles,100,,Baltimore Orioles,Boston Red Sox,FanDuel
Boston Red Sox,-118,,Baltimore Orioles,Boston Red Sox,FanDuel
Baltimore Orioles,101,,Baltimore Orioles,Boston Red Sox,LowVig.ag
Boston Red Sox,-111,,Baltimore Orioles,Boston Red Sox,LowVig.ag
Baltimore Orioles,-105,,Baltimore Orioles,Boston Red Sox,DraftKings
Boston Red Sox,-115,,Baltimore Orioles,Boston Red Sox,DraftKings
Baltimore Orioles,-105,,Baltimore Orioles,Boston Red Sox,William Hill (US)
Boston Red Sox,-115,,Baltimore Orioles,Boston Red Sox,William Hill (US)
Baltimore Orioles,100,,Baltimore Orioles,Boston Red Sox,BetUS
Boston Red Sox,-110,,Baltimore Orioles,Boston Red Sox,BetUS
Baltimore Orioles,-105,,Baltimore Orioles,Boston Red Sox,FOX Bet
Boston Red Sox,-118,,Baltimore Orioles,Boston Red Sox,FOX Bet
Baltimore Orioles,-108,,Baltimore Orioles,Boston Red Sox,Bovada
Boston Red Sox,-112,,Baltimore Orioles,Boston Red Sox,Bovada
Baltimore Orioles,-101,,Baltimore Orioles,Boston Red Sox,GTbets
Boston Red Sox,-109,,Baltimore Orioles,Boston Red Sox,GTbets
Baltimore Orioles,100,,Baltimore Orioles,Boston Red Sox,Circa Sports
Boston Red Sox,-118,,Baltimore Orioles,Boston Red Sox,Circa Sports
Baltimore Orioles,-104,,Baltimore Orioles,Boston Red Sox,WynnBET
Boston Red Sox,-106,,Baltimore Orioles,Boston Red Sox,WynnBET
Baltimore Orioles,-105,,Baltimore Orioles,Boston Red Sox,PointsBet (US)
Boston Red Sox,-115,,Baltimore Orioles,Boston Red Sox,PointsBet (US)
