team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
LAD,5.125161527886309,0.6049106319328923,-153.10729187482096,LAD,-210.0,Los Angeles Dodgers,Arizona Diamondbacks,Bovada,-56.89270812517904,10.250323055772618
LAD,5.125161527886309,0.6049106319328923,-153.10729187482096,LAD,-290.0,Los Angeles Dodgers,Arizona Diamondbacks,Bovada,-136.89270812517904,10.250323055772618
ARI,4.141995474157408,0.3950893680671076,153.10729187482104,ARI,170.0,Los Angeles Dodgers,Arizona Diamondbacks,Bovada,16.892708125178956,8.283990948314816
ARI,4.141995474157408,0.3950893680671076,153.10729187482104,ARI,230.0,Los Angeles Dodgers,Arizona Diamondbacks,Bovada,76.89270812517896,8.283990948314816
CIN,4.389168645233274,0.4857763749988315,105.85603818267312,CIN,108.0,Cincinnati Reds,Boston Red Sox,Bovada,2.1439618173268826,8.905024657318059
BOS,4.515856012084785,0.5142236250011685,-105.85603818267312,BOS,-130.0,Cincinnati Reds,Boston Red Sox,Bovada,-24.143961817326883,8.905024657318059
TBR,3.992991621578037,0.4417040685146073,126.39592235653804,TBR,-150.0,Tampa Bay Rays,Houston Astros,Bovada,-76.39592235653804,8.482150030790963
HOU,4.489158409212926,0.5582959314853928,-126.39592235653812,HOU,126.0,Tampa Bay Rays,Houston Astros,Bovada,52.39592235653812,8.482150030790963
MIA,3.586730417461061,0.3980993508218266,151.19357716500272,MIA,-150.0,Miami Marlins,Chicago Cubs,Bovada,-101.19357716500272,7.997002742168053
CHC,4.410272324706992,0.6019006491781734,-151.19357716500278,CHC,126.0,Miami Marlins,Chicago Cubs,Bovada,77.19357716500278,7.997002742168053
PHI,4.43066232360352,0.4330709144122422,130.9090651717366,PHI,105.0,Philadelphia Phillies,Toronto Blue Jays,Bovada,-25.909065171736586,9.500026750635868
TOR,5.069364427032348,0.5669290855877577,-130.90906517173656,TOR,-125.0,Philadelphia Phillies,Toronto Blue Jays,Bovada,5.909065171736557,9.500026750635868
BAL,4.329514872790546,0.615864011632097,-160.32447630037166,BAL,-190.0,Baltimore Orioles,Detroit Tigers,Bovada,-29.675523699628343,7.748831521682128
DET,3.419316648891581,0.3841359883679029,160.32447630037169,DET,156.0,Baltimore Orioles,Detroit Tigers,Bovada,-4.3244763003716855,7.748831521682128
NYY,4.526301219073467,0.619545379421809,-162.84343674950324,NYY,-320.0,New York Yankees,Pittsburgh Pirates,Bovada,-157.15656325049676,8.073277812504072
PIT,3.546976593430605,0.3804546205781908,162.84343674950333,PIT,255.0,New York Yankees,Pittsburgh Pirates,Bovada,92.15656325049667,8.073277812504072
ATL,4.860296008545925,0.5606174957667907,-127.5921299472666,ATL,-335.0,Atlanta Braves,Washington Nationals,Bovada,-207.40787005273341,9.163092208506292
WSN,4.302796199960366,0.4393825042332094,127.59212994726654,WSN,265.0,Atlanta Braves,Washington Nationals,Bovada,137.40787005273347,9.163092208506292
MIL,4.285444339101895,0.4395428163466074,127.50912148031476,,,,,,-27.50912148031476,9.12456538242172
