name,price,point,home_team,away_team,bookmakers.title
Chicago White Sox,-145,,Cleveland Guardians,Chicago White Sox,BetOnline.ag
Cleveland Guardians,134,,Cleveland Guardians,Chicago White Sox,BetOnline.ag
Chicago White Sox,-145,,Cleveland Guardians,Chicago White Sox,LowVig.ag
Cleveland Guardians,134,,Cleveland Guardians,Chicago White Sox,LowVig.ag
Chicago White Sox,-152,,Cleveland Guardians,Chicago White Sox,FanDuel
Cleveland Guardians,128,,Cleveland Guardians,Chicago White Sox,FanDuel
Chicago White Sox,-150,,Cleveland Guardians,Chicago White Sox,DraftKings
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,DraftKings
Chicago White Sox,-154,,Cleveland Guardians,Chicago White Sox,FOX Bet
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,FOX Bet
Chicago White Sox,-155,,Cleveland Guardians,Chicago White Sox,William Hill (US)
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,William Hill (US)
Chicago White Sox,-150,,Cleveland Guardians,Chicago White Sox,Bovada
Cleveland Guardians,126,,Cleveland Guardians,Chicago White Sox,Bovada
Chicago White Sox,-152,,Cleveland Guardians,Chicago White Sox,Circa Sports
Cleveland Guardians,127,,Cleveland Guardians,Chicago White Sox,Circa Sports
Chicago White Sox,-150,,Cleveland Guardians,Chicago White Sox,BetMGM
Cleveland Guardians,125,,Cleveland Guardians,Chicago White Sox,BetMGM
Chicago White Sox,-142,,Cleveland Guardians,Chicago White Sox,SuperBook
Cleveland Guardians,132,,Cleveland Guardians,Chicago White Sox,SuperBook
Chicago White Sox,-152,,Cleveland Guardians,Chicago White Sox,BetRivers
Cleveland Guardians,133,,Cleveland Guardians,Chicago White Sox,BetRivers
Chicago White Sox,-152,,Cleveland Guardians,Chicago White Sox,SugarHouse
Cleveland Guardians,133,,Cleveland Guardians,Chicago White Sox,SugarHouse
Chicago White Sox,-155,,Cleveland Guardians,Chicago White Sox,Barstool Sportsbook
Cleveland Guardians,132,,Cleveland Guardians,Chicago White Sox,Barstool Sportsbook
Chicago White Sox,-155,,Cleveland Guardians,Chicago White Sox,TwinSpires
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,TwinSpires
Chicago White Sox,-154,,Cleveland Guardians,Chicago White Sox,Unibet
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,Unibet
Chicago White Sox,-145,,Cleveland Guardians,Chicago White Sox,GTbets
Cleveland Guardians,133,,Cleveland Guardians,Chicago White Sox,GTbets
Chicago White Sox,-145,,Cleveland Guardians,Chicago White Sox,BetUS
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,BetUS
Chicago White Sox,-139,,Cleveland Guardians,Chicago White Sox,Betfair
Cleveland Guardians,136,,Cleveland Guardians,Chicago White Sox,Betfair
Chicago White Sox,-135,,Cleveland Guardians,Chicago White Sox,Betfair
Cleveland Guardians,140,,Cleveland Guardians,Chicago White Sox,Betfair
Chicago White Sox,-141,,Cleveland Guardians,Chicago White Sox,WynnBET
Cleveland Guardians,130,,Cleveland Guardians,Chicago White Sox,WynnBET
Tampa Bay Rays,110,,Toronto Blue Jays,Tampa Bay Rays,FanDuel
Toronto Blue Jays,-130,,Toronto Blue Jays,Tampa Bay Rays,FanDuel
Tampa Bay Rays,110,,Toronto Blue Jays,Tampa Bay Rays,DraftKings
Toronto Blue Jays,-130,,Toronto Blue Jays,Tampa Bay Rays,DraftKings
Tampa Bay Rays,115,,Toronto Blue Jays,Tampa Bay Rays,William Hill (US)
Toronto Blue Jays,-135,,Toronto Blue Jays,Tampa Bay Rays,William Hill (US)
Tampa Bay Rays,115,,Toronto Blue Jays,Tampa Bay Rays,FOX Bet
Toronto Blue Jays,-139,,Toronto Blue Jays,Tampa Bay Rays,FOX Bet
Tampa Bay Rays,125,,Toronto Blue Jays,Tampa Bay Rays,LowVig.ag
Toronto Blue Jays,-135,,Toronto Blue Jays,Tampa Bay Rays,LowVig.ag
Tampa Bay Rays,116,,Toronto Blue Jays,Tampa Bay Rays,BetOnline.ag
Toronto Blue Jays,-127,,Toronto Blue Jays,Tampa Bay Rays,BetOnline.ag
Tampa Bay Rays,118,,Toronto Blue Jays,Tampa Bay Rays,SuperBook
Toronto Blue Jays,-128,,Toronto Blue Jays,Tampa Bay Rays,SuperBook
Tampa Bay Rays,117,,Toronto Blue Jays,Tampa Bay Rays,Bovada
Toronto Blue Jays,-140,,Toronto Blue Jays,Tampa Bay Rays,Bovada
Tampa Bay Rays,126,,Toronto Blue Jays,Tampa Bay Rays,GTbets
Toronto Blue Jays,-136,,Toronto Blue Jays,Tampa Bay Rays,GTbets
Tampa Bay Rays,117,,Toronto Blue Jays,Tampa Bay Rays,Circa Sports
Toronto Blue Jays,-139,,Toronto Blue Jays,Tampa Bay Rays,Circa Sports
Tampa Bay Rays,105,,Toronto Blue Jays,Tampa Bay Rays,BetMGM
Toronto Blue Jays,-130,,Toronto Blue Jays,Tampa Bay Rays,BetMGM
Tampa Bay Rays,125,,Toronto Blue Jays,Tampa Bay Rays,BetUS
Toronto Blue Jays,-135,,Toronto Blue Jays,Tampa Bay Rays,BetUS
Tampa Bay Rays,120,,Toronto Blue Jays,Tampa Bay Rays,Betfair
Toronto Blue Jays,-125,,Toronto Blue Jays,Tampa Bay Rays,Betfair
Tampa Bay Rays,126,,Toronto Blue Jays,Tampa Bay Rays,Betfair
Toronto Blue Jays,-120,,Toronto Blue Jays,Tampa Bay Rays,Betfair
Tampa Bay Rays,116,,Toronto Blue Jays,Tampa Bay Rays,WynnBET
Toronto Blue Jays,-127,,Toronto Blue Jays,Tampa Bay Rays,WynnBET
Tampa Bay Rays,120,,Toronto Blue Jays,Tampa Bay Rays,Intertops
Toronto Blue Jays,-130,,Toronto Blue Jays,Tampa Bay Rays,Intertops
Tampa Bay Rays,114,,Toronto Blue Jays,Tampa Bay Rays,BetRivers
Toronto Blue Jays,-129,,Toronto Blue Jays,Tampa Bay Rays,BetRivers
Tampa Bay Rays,114,,Toronto Blue Jays,Tampa Bay Rays,SugarHouse
Toronto Blue Jays,-129,,Toronto Blue Jays,Tampa Bay Rays,SugarHouse
Tampa Bay Rays,114,,Toronto Blue Jays,Tampa Bay Rays,TwinSpires
Toronto Blue Jays,-139,,Toronto Blue Jays,Tampa Bay Rays,TwinSpires
Tampa Bay Rays,114,,Toronto Blue Jays,Tampa Bay Rays,Barstool Sportsbook
Toronto Blue Jays,-137,,Toronto Blue Jays,Tampa Bay Rays,Barstool Sportsbook
Tampa Bay Rays,114,,Toronto Blue Jays,Tampa Bay Rays,Unibet
Toronto Blue Jays,-139,,Toronto Blue Jays,Tampa Bay Rays,Unibet
Miami Marlins,110,,Miami Marlins,Philadelphia Phillies,William Hill (US)
Philadelphia Phillies,-130,,Miami Marlins,Philadelphia Phillies,William Hill (US)
Miami Marlins,115,,Miami Marlins,Philadelphia Phillies,BetOnline.ag
Philadelphia Phillies,-125,,Miami Marlins,Philadelphia Phillies,BetOnline.ag
Miami Marlins,114,,Miami Marlins,Philadelphia Phillies,FanDuel
Philadelphia Phillies,-134,,Miami Marlins,Philadelphia Phillies,FanDuel
Miami Marlins,116,,Miami Marlins,Philadelphia Phillies,WynnBET
Philadelphia Phillies,-127,,Miami Marlins,Philadelphia Phillies,WynnBET
Miami Marlins,110,,Miami Marlins,Philadelphia Phillies,FOX Bet
Philadelphia Phillies,-133,,Miami Marlins,Philadelphia Phillies,FOX Bet
Miami Marlins,110,,Miami Marlins,Philadelphia Phillies,DraftKings
Philadelphia Phillies,-130,,Miami Marlins,Philadelphia Phillies,DraftKings
Miami Marlins,115,,Miami Marlins,Philadelphia Phillies,LowVig.ag
Philadelphia Phillies,-125,,Miami Marlins,Philadelphia Phillies,LowVig.ag
Miami Marlins,108,,Miami Marlins,Philadelphia Phillies,Bovada
Philadelphia Phillies,-130,,Miami Marlins,Philadelphia Phillies,Bovada
Miami Marlins,113,,Miami Marlins,Philadelphia Phillies,Circa Sports
Philadelphia Phillies,-134,,Miami Marlins,Philadelphia Phillies,Circa Sports
Miami Marlins,110,,Miami Marlins,Philadelphia Phillies,BetMGM
Philadelphia Phillies,-135,,Miami Marlins,Philadelphia Phillies,BetMGM
Miami Marlins,115,,Miami Marlins,Philadelphia Phillies,BetUS
Philadelphia Phillies,-125,,Miami Marlins,Philadelphia Phillies,BetUS
Miami Marlins,115,,Miami Marlins,Philadelphia Phillies,SuperBook
Philadelphia Phillies,-125,,Miami Marlins,Philadelphia Phillies,SuperBook
Miami Marlins,108,,Miami Marlins,Philadelphia Phillies,TwinSpires
Philadelphia Phillies,-129,,Miami Marlins,Philadelphia Phillies,TwinSpires
Miami Marlins,110,,Miami Marlins,Philadelphia Phillies,Barstool Sportsbook
Philadelphia Phillies,-127,,Miami Marlins,Philadelphia Phillies,Barstool Sportsbook
Miami Marlins,108,,Miami Marlins,Philadelphia Phillies,Unibet
Philadelphia Phillies,-128,,Miami Marlins,Philadelphia Phillies,Unibet
Miami Marlins,112,,Miami Marlins,Philadelphia Phillies,BetRivers
Philadelphia Phillies,-127,,Miami Marlins,Philadelphia Phillies,BetRivers
Miami Marlins,112,,Miami Marlins,Philadelphia Phillies,SugarHouse
Philadelphia Phillies,-127,,Miami Marlins,Philadelphia Phillies,SugarHouse
Miami Marlins,115,,Miami Marlins,Philadelphia Phillies,GTbets
Philadelphia Phillies,-125,,Miami Marlins,Philadelphia Phillies,GTbets
Miami Marlins,120,,Miami Marlins,Philadelphia Phillies,Betfair
Philadelphia Phillies,-123,,Miami Marlins,Philadelphia Phillies,Betfair
Miami Marlins,124,,Miami Marlins,Philadelphia Phillies,Betfair
Philadelphia Phillies,-120,,Miami Marlins,Philadelphia Phillies,Betfair
Miami Marlins,115,,Miami Marlins,Philadelphia Phillies,Intertops
Philadelphia Phillies,-125,,Miami Marlins,Philadelphia Phillies,Intertops
Houston Astros,-295,,Houston Astros,Oakland Athletics,DraftKings
Oakland Athletics,245,,Houston Astros,Oakland Athletics,DraftKings
Houston Astros,-310,,Houston Astros,Oakland Athletics,FanDuel
Oakland Athletics,250,,Houston Astros,Oakland Athletics,FanDuel
Houston Astros,-278,,Houston Astros,Oakland Athletics,Betfair
Oakland Athletics,265,,Houston Astros,Oakland Athletics,Betfair
Houston Astros,-263,,Houston Astros,Oakland Athletics,Betfair
Oakland Athletics,280,,Houston Astros,Oakland Athletics,Betfair
Houston Astros,-295,,Houston Astros,Oakland Athletics,Circa Sports
Oakland Athletics,240,,Houston Astros,Oakland Athletics,Circa Sports
Houston Astros,-300,,Houston Astros,Oakland Athletics,BetUS
Oakland Athletics,240,,Houston Astros,Oakland Athletics,BetUS
Houston Astros,-303,,Houston Astros,Oakland Athletics,FOX Bet
Oakland Athletics,250,,Houston Astros,Oakland Athletics,FOX Bet
Houston Astros,-300,,Houston Astros,Oakland Athletics,BetMGM
Oakland Athletics,240,,Houston Astros,Oakland Athletics,BetMGM
Houston Astros,-305,,Houston Astros,Oakland Athletics,BetRivers
Oakland Athletics,260,,Houston Astros,Oakland Athletics,BetRivers
Houston Astros,-315,,Houston Astros,Oakland Athletics,TwinSpires
Oakland Athletics,250,,Houston Astros,Oakland Athletics,TwinSpires
Houston Astros,-305,,Houston Astros,Oakland Athletics,SugarHouse
Oakland Athletics,260,,Houston Astros,Oakland Athletics,SugarHouse
Houston Astros,-305,,Houston Astros,Oakland Athletics,Barstool Sportsbook
Oakland Athletics,255,,Houston Astros,Oakland Athletics,Barstool Sportsbook
Houston Astros,-312,,Houston Astros,Oakland Athletics,Unibet
Oakland Athletics,250,,Houston Astros,Oakland Athletics,Unibet
Houston Astros,-290,,Houston Astros,Oakland Athletics,LowVig.ag
Oakland Athletics,258,,Houston Astros,Oakland Athletics,LowVig.ag
Houston Astros,-294,,Houston Astros,Oakland Athletics,BetOnline.ag
Oakland Athletics,258,,Houston Astros,Oakland Athletics,BetOnline.ag
Houston Astros,-305,,Houston Astros,Oakland Athletics,William Hill (US)
Oakland Athletics,240,,Houston Astros,Oakland Athletics,William Hill (US)
Houston Astros,-290,,Houston Astros,Oakland Athletics,Bovada
Oakland Athletics,230,,Houston Astros,Oakland Athletics,Bovada
Houston Astros,-290,,Houston Astros,Oakland Athletics,GTbets
Oakland Athletics,250,,Houston Astros,Oakland Athletics,GTbets
Houston Astros,-280,,Houston Astros,Oakland Athletics,SuperBook
Oakland Athletics,245,,Houston Astros,Oakland Athletics,SuperBook
Houston Astros,-300,,Houston Astros,Oakland Athletics,Intertops
Oakland Athletics,250,,Houston Astros,Oakland Athletics,Intertops
Houston Astros,-278,,Houston Astros,Oakland Athletics,WynnBET
Oakland Athletics,250,,Houston Astros,Oakland Athletics,WynnBET
New York Mets,-250,,New York Mets,Pittsburgh Pirates,BetOnline.ag
Pittsburgh Pirates,224,,New York Mets,Pittsburgh Pirates,BetOnline.ag
New York Mets,-267,,New York Mets,Pittsburgh Pirates,William Hill (US)
Pittsburgh Pirates,215,,New York Mets,Pittsburgh Pirates,William Hill (US)
New York Mets,-275,,New York Mets,Pittsburgh Pirates,FanDuel
