name,price,point,home_team,away_team,bookmakers.title
New York Yankees,-105,,New York Yankees,Tampa Bay Rays,DraftKings
Tampa Bay Rays,-115,,New York Yankees,Tampa Bay Rays,DraftKings
New York Yankees,-108,,New York Yankees,Tampa Bay Rays,FanDuel
Tampa Bay Rays,-108,,New York Yankees,Tampa Bay Rays,FanDuel
New York Yankees,-105,,New York Yankees,Tampa Bay Rays,William Hill (US)
Tampa Bay Rays,-115,,New York Yankees,Tampa Bay Rays,William Hill (US)
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,LowVig.ag
Tampa Bay Rays,-107,,New York Yankees,Tampa Bay Rays,LowVig.ag
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,BetOnline.ag
Tampa Bay Rays,-108,,New York Yankees,Tampa Bay Rays,BetOnline.ag
New York Yankees,-110,,New York Yankees,Tampa Bay Rays,FOX Bet
Tampa Bay Rays,-110,,New York Yankees,Tampa Bay Rays,FOX Bet
New York Yankees,-105,,New York Yankees,Tampa Bay Rays,Bovada
Tampa Bay Rays,-115,,New York Yankees,Tampa Bay Rays,Bovada
New York Yankees,-106,,New York Yankees,Tampa Bay Rays,WynnBET
Tampa Bay Rays,-104,,New York Yankees,Tampa Bay Rays,WynnBET
New York Yankees,100,,New York Yankees,Tampa Bay Rays,BetUS
Tampa Bay Rays,-110,,New York Yankees,Tampa Bay Rays,BetUS
New York Yankees,100,,New York Yankees,Tampa Bay Rays,Circa Sports
Tampa Bay Rays,-118,,New York Yankees,Tampa Bay Rays,Circa Sports
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,GTbets
Tampa Bay Rays,-107,,New York Yankees,Tampa Bay Rays,GTbets
New York Yankees,-105,,New York Yankees,Tampa Bay Rays,BetMGM
Tampa Bay Rays,-115,,New York Yankees,Tampa Bay Rays,BetMGM
New York Yankees,102,,New York Yankees,Tampa Bay Rays,SuperBook
Tampa Bay Rays,-112,,New York Yankees,Tampa Bay Rays,SuperBook
New York Yankees,-102,,New York Yankees,Tampa Bay Rays,Unibet
Tampa Bay Rays,-122,,New York Yankees,Tampa Bay Rays,Unibet
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,SugarHouse
Tampa Bay Rays,-114,,New York Yankees,Tampa Bay Rays,SugarHouse
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,Barstool Sportsbook
Tampa Bay Rays,-114,,New York Yankees,Tampa Bay Rays,Barstool Sportsbook
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,TwinSpires
Tampa Bay Rays,-122,,New York Yankees,Tampa Bay Rays,TwinSpires
New York Yankees,-103,,New York Yankees,Tampa Bay Rays,BetRivers
Tampa Bay Rays,-114,,New York Yankees,Tampa Bay Rays,BetRivers
New York Yankees,102,,New York Yankees,Tampa Bay Rays,Betfair
Tampa Bay Rays,-104,,New York Yankees,Tampa Bay Rays,Betfair
New York Yankees,106,,New York Yankees,Tampa Bay Rays,Betfair
Tampa Bay Rays,-102,,New York Yankees,Tampa Bay Rays,Betfair
New York Yankees,105,,New York Yankees,Tampa Bay Rays,Intertops
Tampa Bay Rays,-115,,New York Yankees,Tampa Bay Rays,Intertops
Chicago Cubs,-105,,Chicago Cubs,San Francisco Giants,DraftKings
San Francisco Giants,-115,,Chicago Cubs,San Francisco Giants,DraftKings
Chicago Cubs,-102,,Chicago Cubs,San Francisco Giants,FanDuel
San Francisco Giants,-116,,Chicago Cubs,San Francisco Giants,FanDuel
Chicago Cubs,100,,Chicago Cubs,San Francisco Giants,William Hill (US)
San Francisco Giants,-120,,Chicago Cubs,San Francisco Giants,William Hill (US)
Chicago Cubs,104,,Chicago Cubs,San Francisco Giants,BetOnline.ag
San Francisco Giants,-115,,Chicago Cubs,San Francisco Giants,BetOnline.ag
Chicago Cubs,104,,Chicago Cubs,San Francisco Giants,LowVig.ag
San Francisco Giants,-114,,Chicago Cubs,San Francisco Giants,LowVig.ag
Chicago Cubs,100,,Chicago Cubs,San Francisco Giants,FOX Bet
San Francisco Giants,-120,,Chicago Cubs,San Francisco Giants,FOX Bet
Chicago Cubs,101,,Chicago Cubs,San Francisco Giants,WynnBET
San Francisco Giants,-111,,Chicago Cubs,San Francisco Giants,WynnBET
Chicago Cubs,105,,Chicago Cubs,San Francisco Giants,BetUS
San Francisco Giants,-115,,Chicago Cubs,San Francisco Giants,BetUS
Chicago Cubs,108,,Chicago Cubs,San Francisco Giants,Circa Sports
San Francisco Giants,-129,,Chicago Cubs,San Francisco Giants,Circa Sports
Chicago Cubs,104,,Chicago Cubs,San Francisco Giants,GTbets
San Francisco Giants,-114,,Chicago Cubs,San Francisco Giants,GTbets
Chicago Cubs,100,,Chicago Cubs,San Francisco Giants,BetMGM
San Francisco Giants,-120,,Chicago Cubs,San Francisco Giants,BetMGM
Chicago Cubs,106,,Chicago Cubs,San Francisco Giants,Unibet
San Francisco Giants,-125,,Chicago Cubs,San Francisco Giants,Unibet
Chicago Cubs,107,,Chicago Cubs,San Francisco Giants,Barstool Sportsbook
San Francisco Giants,-124,,Chicago Cubs,San Francisco Giants,Barstool Sportsbook
Chicago Cubs,106,,Chicago Cubs,San Francisco Giants,TwinSpires
San Francisco Giants,-125,,Chicago Cubs,San Francisco Giants,TwinSpires
Chicago Cubs,108,,Chicago Cubs,San Francisco Giants,SugarHouse
San Francisco Giants,-122,,Chicago Cubs,San Francisco Giants,SugarHouse
Chicago Cubs,108,,Chicago Cubs,San Francisco Giants,BetRivers
San Francisco Giants,-122,,Chicago Cubs,San Francisco Giants,BetRivers
Chicago Cubs,108,,Chicago Cubs,San Francisco Giants,Betfair
San Francisco Giants,-112,,Chicago Cubs,San Francisco Giants,Betfair
Chicago Cubs,112,,Chicago Cubs,San Francisco Giants,Betfair
San Francisco Giants,-109,,Chicago Cubs,San Francisco Giants,Betfair
Chicago Cubs,105,,Chicago Cubs,San Francisco Giants,Intertops
San Francisco Giants,-115,,Chicago Cubs,San Francisco Giants,Intertops
Chicago Cubs,102,,Chicago Cubs,San Francisco Giants,SuperBook
San Francisco Giants,-112,,Chicago Cubs,San Francisco Giants,SuperBook
Chicago White Sox,-200,,Oakland Athletics,Chicago White Sox,DraftKings
Oakland Athletics,170,,Oakland Athletics,Chicago White Sox,DraftKings
Chicago White Sox,-205,,Oakland Athletics,Chicago White Sox,FanDuel
Oakland Athletics,172,,Oakland Athletics,Chicago White Sox,FanDuel
Chicago White Sox,-192,,Oakland Athletics,Chicago White Sox,BetOnline.ag
Oakland Athletics,176,,Oakland Athletics,Chicago White Sox,BetOnline.ag
Chicago White Sox,-205,,Oakland Athletics,Chicago White Sox,William Hill (US)
