name,price,point,home_team,away_team,bookmakers.title
Cincinnati Reds,190,,Cincinnati Reds,St. Louis Cardinals,DraftKings
St. Louis Cardinals,-225,,Cincinnati Reds,St. Louis Cardinals,DraftKings
Cincinnati Reds,190,,Cincinnati Reds,St. Louis Cardinals,BetOnline.ag
St. Louis Cardinals,-208,,Cincinnati Reds,St. Louis Cardinals,BetOnline.ag
Cincinnati Reds,188,,Cincinnati Reds,St. Louis Cardinals,GTbets
St. Louis Cardinals,-208,,Cincinnati Reds,St. Louis Cardinals,GTbets
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,PointsBet (US)
St. Louis Cardinals,-221,,Cincinnati Reds,St. Louis Cardinals,PointsBet (US)
Cincinnati Reds,184,,Cincinnati Reds,St. Louis Cardinals,FanDuel
St. Louis Cardinals,-220,,Cincinnati Reds,St. Louis Cardinals,FanDuel
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,William Hill (US)
St. Louis Cardinals,-220,,Cincinnati Reds,St. Louis Cardinals,William Hill (US)
Cincinnati Reds,195,,Cincinnati Reds,St. Louis Cardinals,WynnBET
St. Louis Cardinals,-213,,Cincinnati Reds,St. Louis Cardinals,WynnBET
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,Bovada
St. Louis Cardinals,-220,,Cincinnati Reds,St. Louis Cardinals,Bovada
Cincinnati Reds,171,,Cincinnati Reds,St. Louis Cardinals,Circa Sports
St. Louis Cardinals,-205,,Cincinnati Reds,St. Louis Cardinals,Circa Sports
Cincinnati Reds,190,,Cincinnati Reds,St. Louis Cardinals,LowVig.ag
St. Louis Cardinals,-208,,Cincinnati Reds,St. Louis Cardinals,LowVig.ag
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,BetMGM
St. Louis Cardinals,-225,,Cincinnati Reds,St. Louis Cardinals,BetMGM
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,Unibet
St. Louis Cardinals,-217,,Cincinnati Reds,St. Louis Cardinals,Unibet
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,Barstool Sportsbook
St. Louis Cardinals,-215,,Cincinnati Reds,St. Louis Cardinals,Barstool Sportsbook
Cincinnati Reds,180,,Cincinnati Reds,St. Louis Cardinals,TwinSpires
St. Louis Cardinals,-220,,Cincinnati Reds,St. Louis Cardinals,TwinSpires
Cincinnati Reds,185,,Cincinnati Reds,St. Louis Cardinals,SugarHouse
St. Louis Cardinals,-215,,Cincinnati Reds,St. Louis Cardinals,SugarHouse
Cincinnati Reds,185,,Cincinnati Reds,St. Louis Cardinals,BetRivers
St. Louis Cardinals,-215,,Cincinnati Reds,St. Louis Cardinals,BetRivers
Cincinnati Reds,175,,Cincinnati Reds,St. Louis Cardinals,FOX Bet
St. Louis Cardinals,-213,,Cincinnati Reds,St. Louis Cardinals,FOX Bet
Los Angeles Dodgers,-165,,Miami Marlins,Los Angeles Dodgers,DraftKings
Miami Marlins,140,,Miami Marlins,Los Angeles Dodgers,DraftKings
Los Angeles Dodgers,-159,,Miami Marlins,Los Angeles Dodgers,BetOnline.ag
Miami Marlins,145,,Miami Marlins,Los Angeles Dodgers,BetOnline.ag
Los Angeles Dodgers,-182,,Miami Marlins,Los Angeles Dodgers,FOX Bet
Miami Marlins,150,,Miami Marlins,Los Angeles Dodgers,FOX Bet
Los Angeles Dodgers,-165,,Miami Marlins,Los Angeles Dodgers,PointsBet (US)
Miami Marlins,140,,Miami Marlins,Los Angeles Dodgers,PointsBet (US)
Los Angeles Dodgers,-157,,Miami Marlins,Los Angeles Dodgers,GTbets
Miami Marlins,145,,Miami Marlins,Los Angeles Dodgers,GTbets
Los Angeles Dodgers,-157,,Miami Marlins,Los Angeles Dodgers,LowVig.ag
Miami Marlins,145,,Miami Marlins,Los Angeles Dodgers,LowVig.ag
Los Angeles Dodgers,-170,,Miami Marlins,Los Angeles Dodgers,William Hill (US)
Miami Marlins,143,,Miami Marlins,Los Angeles Dodgers,William Hill (US)
Los Angeles Dodgers,-172,,Miami Marlins,Los Angeles Dodgers,FanDuel
Miami Marlins,144,,Miami Marlins,Los Angeles Dodgers,FanDuel
Los Angeles Dodgers,-173,,Miami Marlins,Los Angeles Dodgers,Circa Sports
Miami Marlins,144,,Miami Marlins,Los Angeles Dodgers,Circa Sports
Los Angeles Dodgers,-156,,Miami Marlins,Los Angeles Dodgers,WynnBET
Miami Marlins,147,,Miami Marlins,Los Angeles Dodgers,WynnBET
Los Angeles Dodgers,-165,,Miami Marlins,Los Angeles Dodgers,Bovada
