team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
CIN,3.988813560209647,0.520199827748712,-108.42010024878968,CIN,-140,Cincinnati Reds,Pittsburgh Pirates,Bovada,-31.57989975121032,7.819607884686583
PIT,3.830794324476936,0.4798001722512879,108.42010024878972,PIT,117,Cincinnati Reds,Pittsburgh Pirates,Bovada,8.579899751210277,7.819607884686583
TOR,4.442697622422438,0.515428143361139,-106.3677422243022,TOR,-115,Toronto Blue Jays,Tampa Bay Rays,Bovada,-8.632257775697795,8.750361267282578
TBR,4.307663644860141,0.484571856638861,106.3677422243022,TBR,-105,Toronto Blue Jays,Tampa Bay Rays,Bovada,-11.367742224302205,8.750361267282578
CLE,4.186666210726331,0.599070242878901,-149.42024936751065,CLE,-135,Cleveland Guardians,Los Angeles Angels,Bovada,14.42024936751065,7.611690131092523
LAA,3.425023920366192,0.400929757121099,149.42024936751065,LAA,113,Cleveland Guardians,Los Angeles Angels,Bovada,-36.42024936751065,7.611690131092523
CIN,4.180211385664582,0.5382089017246555,-116.54813263718364,CIN,-140,Cincinnati Reds,Pittsburgh Pirates,Bovada,-23.45186736281636,8.05230264160484
PIT,3.872091255940258,0.4617910982753445,116.5481326371836,PIT,117,Cincinnati Reds,Pittsburgh Pirates,Bovada,0.45186736281640094,8.05230264160484
DET,2.522760246068506,0.2163866350506474,362.1357505586888,DET,190,Detroit Tigers,Houston Astros,Bovada,-172.1357505586888,7.323538861777729
HOU,4.800778615709223,0.7836133649493526,-362.1357505586888,HOU,-230,Detroit Tigers,Houston Astros,Bovada,132.1357505586888,7.323538861777729
MIA,3.312799324192789,0.3377433860222057,196.0827780456529,MIA,-130,Miami Marlins,Philadelphia Phillies,Bovada,-126.0827780456529,7.951697657011815
PHI,4.638898332819026,0.6622566139777943,-196.08277804565296,PHI,108,Miami Marlins,Philadelphia Phillies,Bovada,104.08277804565296,7.951697657011815
WSN,3.9590734541947095,0.4859315355309319,105.79030725128666,WSN,130,Washington Nationals,Baltimore Orioles,Bovada,24.209692748713337,8.031155302651634
BAL,4.072081848456924,0.5140684644690683,-105.79030725128676,BAL,-155,Washington Nationals,Baltimore Orioles,Bovada,-49.20969274871324,8.031155302651634
TOR,4.922015320168386,0.5584460084587681,-126.4728706243891,TOR,-115,Toronto Blue Jays,Tampa Bay Rays,Bovada,11.472870624389103,9.298690066394489
TBR,4.376674746226102,0.4415539915412318,126.4728706243891,TBR,-105,Toronto Blue Jays,Tampa Bay Rays,Bovada,-31.472870624389103,9.298690066394489
NYM,4.614242802674531,0.6858495462550434,-218.318814465839,NYM,-415,New York Mets,Chicago Cubs,Bovada,-196.681185534161,7.7371196746746715
CHC,3.12287687200014,0.3141504537449567,218.318814465839,CHC,310,New York Mets,Chicago Cubs,Bovada,91.68118553416099,7.7371196746746715
BOS,4.578842745078943,0.4681197901793436,113.62053495257808,BOS,139,Boston Red Sox,New York Yankees,Bovada,25.379465047421917,9.459565552376782
NYY,4.880722807297839,0.5318802098206564,-113.62053495257813,NYY,-165,Boston Red Sox,New York Yankees,Bovada,-51.379465047421874,9.459565552376782
MIN,4.462360004150242,0.5452304214780632,-119.89157745558454,MIN,-190,Minnesota Twins,Kansas City Royals,Bovada,-70.10842254441546,8.537760248777666
KCR,4.075400244627423,0.4547695785219367,119.89157745558455,KCR,156,Minnesota Twins,Kansas City Royals,Bovada,36.10842254441545,8.537760248777666
STL,4.615730545460544,0.5176085166059404,-107.30050890701824,STL,-185,St. Louis Cardinals,Milwaukee Brewers,Bovada,-77.69949109298176,9.0716728299547
MIL,4.4559422844941565,0.4823914833940597,107.3005089070182,MIL,153,St. Louis Cardinals,Milwaukee Brewers,Bovada,45.6994910929818,9.0716728299547
TEX,4.0342182413728205,0.5851948003113348,-141.0770165732147,TEX,-135,Texas Rangers,Oakland Athletics,Bovada,6.077016573214706,7.430715398024038
OAK,3.396497156651217,0.4148051996886652,141.0770165732147,OAK,113,Texas Rangers,Oakland Athletics,Bovada,-28.077016573214706,7.430715398024038
CHW,4.480949191704178,0.4808546118634285,107.96306728238643,CHW,-190,Chicago White Sox,Colorado Rockies,Bovada,-97.96306728238643,9.136891891716527
COL,4.655942700012348,0.5191453881365715,-107.96306728238643,COL,156,Chicago White Sox,Colorado Rockies,Bovada,63.96306728238643,9.136891891716527
ARI,3.783406577594147,0.3406935546399681,193.5189076461284,ARI,165,Arizona Diamondbacks,Los Angeles Dodgers,Bovada,-28.51890764612841,9.04654408177856
LAD,5.263137504184414,0.6593064453600319,-193.5189076461284,LAD,-200,Arizona Diamondbacks,Los Angeles Dodgers,Bovada,-6.481092353871588,9.04654408177856
SEA,4.054322553702425,0.5031539425101844,-101.26958540281828,SEA,-112,Seattle Mariners,San Diego Padres,Bovada,-10.73041459718172,8.083151060059466
SDP,4.028828506357041,0.4968460574898155,101.26958540281832,SDP,-108,Seattle Mariners,San Diego Padres,Bovada,-9.269585402818322,8.083151060059466
SFG,3.9609218394064767,0.3940862532054816,153.7515561291571,SFG,139,San Francisco Giants,Atlanta Braves,Bovada,-14.751556129157109,8.872330057481733
ATL,4.911408218075257,0.6059137467945184,-153.7515561291571,ATL,-165,San Francisco Giants,Atlanta Braves,Bovada,-11.248443870842891,8.872330057481733
