team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
PIT,3.7044214625559135,0.3421627826773409,192.2585537138908,PIT,195.0,Pittsburgh Pirates,Toronto Blue Jays,Bovada,2.741446286109209,8.840873382356115
TOR,5.1364519198002005,0.6578372173226591,-192.25855371389085,TOR,-240.0,Pittsburgh Pirates,Toronto Blue Jays,Bovada,-47.74144628610915,8.840873382356115
CIN,4.237362747044136,0.4432026408644671,125.63042450502984,CIN,-123.0,Cincinnati Reds,Colorado Rockies,Bovada,-48.630424505029836,8.986809879571446
COL,4.749447132527311,0.5567973591355331,-125.63042450502996,COL,103.0,Cincinnati Reds,Colorado Rockies,Bovada,28.630424505029964,8.986809879571446
BAL,3.8842421559022062,0.5991373736164521,-149.46201870243542,BAL,-170.0,Baltimore Orioles,Oakland Athletics,Bovada,-20.537981297564585,7.06141524582148
OAK,3.1771730899192736,0.4008626263835479,149.4620187024354,OAK,141.0,Baltimore Orioles,Oakland Athletics,Bovada,-8.462018702435387,7.06141524582148
DET,3.078411290073212,0.3562110357783677,180.73245900842716,DET,-110.0,Detroit Tigers,Kansas City Royals,Bovada,-90.73245900842716,7.216928084244209
KCR,4.138516794170997,0.6437889642216322,-180.73245900842716,KCR,-110.0,Detroit Tigers,Kansas City Royals,Bovada,70.73245900842716,7.216928084244209
NYM,4.3560549189108215,0.5534058797731913,-123.91696502679814,NYM,-270.0,New York Mets,Washington Nationals,Bovada,-146.08303497320185,8.269218134309238
WSN,3.913163215398416,0.4465941202268086,123.91696502679817,WSN,220.0,New York Mets,Washington Nationals,Bovada,96.08303497320183,8.269218134309238
CLE,4.115293465119884,0.4912812170931631,103.54940616636011,CLE,126.0,Cleveland Guardians,Seattle Mariners,Bovada,22.450593833639886,8.302984352150975
SEA,4.18769088703109,0.5087187829068368,-103.54940616636009,SEA,-150.0,Cleveland Guardians,Seattle Mariners,Bovada,-46.450593833639914,8.302984352150975
BOS,5.219609529115432,0.5661850017897581,-130.5130076474131,BOS,-185.0,Boston Red Sox,Texas Rangers,Bovada,-54.486992352586896,9.7885038860597
TEX,4.568894356944269,0.433814998210242,130.51300764741308,TEX,153.0,Boston Red Sox,Texas Rangers,Bovada,22.486992352586924,9.7885038860597
TBR,3.795725133033842,0.412384180506985,142.49232809333284,TBR,-138.0,Tampa Bay Rays,New York Yankees,Bovada,-80.49232809333284,8.326687933554442
NYY,4.530962800520601,0.587615819493015,-142.49232809333284,NYY,115.0,Tampa Bay Rays,New York Yankees,Bovada,57.492328093332844,8.326687933554442
ATL,4.795394927859696,0.6092741174383244,-155.93390267463306,ATL,-175.0,Atlanta Braves,Miami Marlins,Bovada,-19.06609732536694,8.635597245279499
MIA,3.840202317419804,0.3907258825616757,155.933902674633,MIA,144.0,Atlanta Braves,Miami Marlins,Bovada,-11.933902674633003,8.635597245279499
CHW,4.199199665810919,0.4194032502095391,138.43401296971055,CHW,113.0,Chicago White Sox,Minnesota Twins,Bovada,-25.43401296971055,9.139893354231608
MIN,4.940693688420689,0.5805967497904608,-138.4340129697105,MIN,-135.0,Chicago White Sox,Minnesota Twins,Bovada,3.434012969710494,9.139893354231608
STL,5.02365778263485,0.5884595445783807,-142.98947693380703,STL,-250.0,St. Louis Cardinals,Chicago Cubs,Bovada,-107.01052306619297,9.224806044004588
CHC,4.201148261369737,0.4115404554216194,142.98947693380694,CHC,205.0,St. Louis Cardinals,Chicago Cubs,Bovada,62.01052306619306,9.224806044004588
LAA,3.3534127421024897,0.3304438520629877,202.6232728364952,LAA,130.0,Los Angeles Angels,Houston Astros,Bovada,-72.6232728364952,8.126854996753616
HOU,4.773442254651127,0.6695561479370122,-202.6232728364952,HOU,-155.0,Los Angeles Angels,Houston Astros,Bovada,47.623272836495204,8.126854996753616
ARI,3.6609757728321854,0.3681394073576652,171.6362280195806,ARI,-110.0,Arizona Diamondbacks,Milwaukee Brewers,Bovada,-81.63622801958061,8.45722051034053
MIL,4.796244737508345,0.6318605926423347,-171.63622801958053,MIL,-110.0,Arizona Diamondbacks,Milwaukee Brewers,Bovada,61.63622801958053,8.45722051034053
LAD,5.034854830199702,0.5727768709878415,-134.06972424742963,LAD,-172.0,Los Angeles Dodgers,San Diego Padres,Bovada,-37.93027575257037,9.383175811143664
SDP,4.348320980943962,0.4272231290121586,134.06972424742958,SDP,142.0,Los Angeles Dodgers,San Diego Padres,Bovada,7.930275752570424,9.383175811143664
SFG,4.242445347611199,0.4238445943383225,135.93553235263792,,,,,,-35.93553235263792,9.188771532707037
PHI,4.946326185095836,0.5761554056616774,-135.93553235263792,,,,,,35.93553235263792,9.188771532707037
