team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
TEX,4.248344411100044,0.44654384882371,123.94217334629268,TEX,117,Texas Rangers,Houston Astros,Bovada,-6.942173346292677,8.977997325273684
HOU,4.729652914173639,0.55345615117629,-123.94217334629272,HOU,-140,Texas Rangers,Houston Astros,Bovada,-16.05782665370728,8.977997325273684
MIL,4.637056894901993,0.5684323864867454,-131.71340218495968,MIL,-280,Milwaukee Brewers,Pittsburgh Pirates,Bovada,-148.28659781504032,8.67748553272364
PIT,4.040428637821648,0.4315676135132545,131.71340218495973,PIT,225,Milwaukee Brewers,Pittsburgh Pirates,Bovada,93.28659781504027,8.67748553272364
SFG,3.8654020709082206,0.4341023258404911,130.36043358299014,SFG,130,San Francisco Giants,San Diego Padres,Bovada,-0.36043358299014017,8.278743968292375
SDP,4.4133418973841545,0.565897674159509,-130.3604335829902,SDP,-155,San Francisco Giants,San Diego Padres,Bovada,-24.639566417009803,8.278743968292375
CLE,4.166120950780533,0.5128106053367126,-105.258983663044,CLE,-170,Cleveland Guardians,Baltimore Orioles,Bovada,-64.741016336956,8.226833878058368
BAL,4.060712927277835,0.4871893946632873,105.25898366304403,BAL,141,Cleveland Guardians,Baltimore Orioles,Bovada,35.741016336955965,8.226833878058368
CIN,4.089488936406228,0.3763622088966625,165.70149084085358,CIN,195,Cincinnati Reds,St. Louis Cardinals,Bovada,29.29850915914642,9.353687296174485
STL,5.264198359768256,0.6236377911033376,-165.7014908408537,STL,-240,Cincinnati Reds,St. Louis Cardinals,Bovada,-74.2985091591463,9.353687296174485
MIA,3.5485359297957797,0.4017804699057306,148.89213759808413,MIA,144,Miami Marlins,Tampa Bay Rays,Bovada,-4.892137598084133,7.8785079442319645
TBR,4.329972014436184,0.5982195300942694,-148.89213759808416,TBR,-175,Miami Marlins,Tampa Bay Rays,Bovada,-26.10786240191584,7.8785079442319645
WSN,4.214057661692251,0.6010738293703709,-150.67294994000775,WSN,-105,Washington Nationals,Oakland Athletics,Bovada,45.672949940007754,7.647129001724858
OAK,3.433071340032608,0.3989261706296291,150.67294994000775,OAK,-115,Washington Nationals,Oakland Athletics,Bovada,-65.67294994000775,7.647129001724858
TOR,4.984697785312221,0.53956201245945,-117.18451280302575,TOR,-225,Toronto Blue Jays,Chicago Cubs,Bovada,-107.81548719697425,9.589423047717055
CHC,4.604725262404835,0.46043798754055,117.18451280302575,CHC,185,Toronto Blue Jays,Chicago Cubs,Bovada,67.81548719697425,9.589423047717055
NYM,4.608371459925047,0.6875581904014201,-220.05959806876788,NYM,-165,New York Mets,Los Angeles Dodgers,Bovada,55.05959806876788,7.714914111192019
LAD,3.106542651266972,0.3124418095985798,220.05959806876797,LAD,139,New York Mets,Los Angeles Dodgers,Bovada,-81.05959806876797,7.714914111192019
DET,3.0484627509747924,0.326306306828435,206.46051855987545,DET,134,Detroit Tigers,Seattle Mariners,Bovada,-72.46051855987545,7.428717807805089
SEA,4.380255056830297,0.6736936931715651,-206.46051855987557,SEA,-160,Detroit Tigers,Seattle Mariners,Bovada,46.46051855987557,7.428717807805089
ATL,5.251339006368702,0.5833937775036837,-140.03482089344985,ATL,-320,Atlanta Braves,Colorado Rockies,Bovada,-179.96517910655015,9.68897867858321
COL,4.437639672214508,0.4166062224963163,140.03482089344982,COL,255,Atlanta Braves,Colorado Rockies,Bovada,114.96517910655018,9.68897867858321
MIN,4.315899094725187,0.4868055659687328,105.42082299532072,MIN,-125,Minnesota Twins,Boston Red Sox,Bovada,-30.42082299532072,8.747233079186259
BOS,4.431333984461072,0.5131944340312671,-105.42082299532068,BOS,105,Minnesota Twins,Boston Red Sox,Bovada,10.420822995320677,8.747233079186259
CHW,4.424271712014693,0.5992135147112354,-149.50941129651744,CHW,-195,Chicago White Sox,Kansas City Royals,Bovada,-45.49058870348256,8.042596314530156
KCR,3.618324602515464,0.4007864852887647,149.50941129651736,KCR,160,Chicago White Sox,Kansas City Royals,Bovada,10.490588703482643,8.042596314530156
LAA,3.5059050367224733,0.3348949714822103,198.60107948892275,LAA,165,Los Angeles Angels,New York Yankees,Bovada,-33.60107948892275,8.446633095950158
NYY,4.940728059227684,0.6651050285177896,-198.6010794889227,NYY,-200,Los Angeles Angels,New York Yankees,Bovada,-1.398920511077307,8.446633095950158
ARI,3.646545129862828,0.3696301316911961,170.5407146935305,ARI,115,Arizona Diamondbacks,Philadelphia Phillies,Bovada,-55.540714693530504,8.40861356294632
PHI,4.762068433083491,0.6303698683088038,-170.54071469353048,PHI,-138,Arizona Diamondbacks,Philadelphia Phillies,Bovada,32.540714693530475,8.40861356294632
