team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison
CHC,4.234802421208664,0.4619638477411786,116.46715536066436,CHC,230,Chicago Cubs,Milwaukee Brewers,Betfair,113.53284463933564
MIL,4.5701966414532444,0.5380361522588213,-116.4671553606643,MIL,-182,Chicago Cubs,Milwaukee Brewers,Betfair,-65.5328446393357
BAL,4.15669651202117,0.465274164849473,114.92704206422538,BAL,106,Baltimore Orioles,Boston Red Sox,Betfair,-8.927042064225375
BOS,4.456146206422561,0.5347258351505269,-114.92704206422528,BOS,-104,Baltimore Orioles,Boston Red Sox,Betfair,10.927042064225276
PIT,3.6281008264821217,0.4111356226823377,143.22874127904163,PIT,112,Pittsburgh Pirates,Cincinnati Reds,Betfair,-31.22874127904163
CIN,4.342046153276519,0.5888643773176623,-143.22874127904163,CIN,-109,Pittsburgh Pirates,Cincinnati Reds,Circa Sports,34.22874127904163
PHI,4.572065788499366,0.4982223439669996,100.713599482049,PHI,-110,Philadelphia Phillies,New York Mets,Betfair,-10.713599482049005
NYM,4.588349908186344,0.5017776560330004,-100.713599482049,NYM,114,Philadelphia Phillies,New York Mets,Betfair,14.713599482049005
NYY,4.532994783830906,0.4553890106649536,119.5924751323735,NYY,106,New York Yankees,Toronto Blue Jays,Betfair,-13.592475132373494
TOR,4.957208052170733,0.5446109893350463,-119.59247513237344,TOR,-102,New York Yankees,Toronto Blue Jays,Betfair,17.592475132373437
DET,3.05750125886905,0.3547133419813471,181.91778589839052,DET,132,Detroit Tigers,Los Angeles Angels,Betfair,-49.91778589839052
LAA,4.123862964867556,0.6452866580186528,-181.9177858983905,LAA,-128,Detroit Tigers,Los Angeles Angels,Betfair,53.91778589839049
TBR,3.635736076215312,0.4770379601373013,109.62692354968551,TBR,-179,Tampa Bay Rays,Kansas City Royals,Betfair,-88.62692354968551
KCR,3.8067202550641994,0.5229620398626987,-109.62692354968556,KCR,186,Tampa Bay Rays,Kansas City Royals,Betfair,95.62692354968556
CLE,4.208144435965427,0.4961385373190916,101.5566066291782,CLE,-120,Cleveland Guardians,Chicago White Sox,Betfair,-21.556606629178205
CHW,4.240770090588835,0.5038614626809085,-101.55660662917823,CHW,124,Cleveland Guardians,Chicago White Sox,Betfair,25.556606629178233
ATL,4.766767036095203,0.5125702104084102,-105.15775222476351,ATL,-114,Atlanta Braves,Houston Astros,Betfair,-8.842247775236487
HOU,4.648397727474089,0.4874297895915898,105.15775222476351,HOU,118,Atlanta Braves,Houston Astros,Betfair,12.842247775236487
MIN,4.4520804702697125,0.4814260128261433,107.71623746079726,MIN,-122,Minnesota Twins,Texas Rangers,Betfair,-29.71623746079726
TEX,4.620655529657216,0.5185739871738567,-107.71623746079726,TEX,130,Minnesota Twins,Texas Rangers,Intertops,37.71623746079726
COL,4.548276086848664,0.5105124617546093,-104.29529290665585,COL,148,Colorado Rockies,San Francisco Giants,Betfair,52.295292906655845
SFG,4.453633397382213,0.4894875382453907,104.29529290665585,SFG,-143,Colorado Rockies,San Francisco Giants,Betfair,-47.295292906655845
SDP,3.749834911592704,0.4401305429792853,127.20531804743776,SDP,-303,San Diego Padres,Washington Nationals,Betfair,-230.20531804743774
WSN,4.229263869261175,0.5598694570207146,-127.20531804743771,WSN,320,San Diego Padres,Washington Nationals,Betfair,247.20531804743771
OAK,3.2007174352333925,0.3771521530151827,165.14497981925714,OAK,130,Oakland Athletics,Seattle Mariners,Betfair,-35.144979819257145
SEA,4.113201861865291,0.6228478469848172,-165.1449798192571,SEA,-125,Oakland Athletics,Seattle Mariners,Betfair,40.14497981925709
ARI,3.9371795806074026,0.3618198925369681,176.38060278784343,ARI,174,Arizona Diamondbacks,St. Louis Cardinals,Betfair,-2.3806027878434293
STL,5.228903600560802,0.6381801074630318,-176.3806027878434,STL,-167,Arizona Diamondbacks,St. Louis Cardinals,Betfair,9.3806027878434
LAD,5.0941744927200485,0.615469163936968,-160.0571673882822,LAD,-244,Los Angeles Dodgers,Miami Marlins,Betfair,-83.94283261171779
MIA,4.026579272385263,0.3845308360630319,160.0571673882822,MIA,255,Los Angeles Dodgers,Miami Marlins,Betfair,94.94283261171779
