team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
CIN,3.9703506819464742,0.362111030510834,176.1583922448562,CIN,180,Cincinnati Reds,St. Louis Cardinals,Bovada,3.841607755143798,9.239985701570223
STL,5.26963501962375,0.637888969489166,-176.1583922448562,STL,-220,Cincinnati Reds,St. Louis Cardinals,Bovada,-43.8416077551438,9.239985701570223
MIA,3.863204871260175,0.3402099475430115,193.9361436142527,MIA,139,Miami Marlins,Los Angeles Dodgers,Bovada,-54.9361436142527,9.243140975928327
LAD,5.379936104668151,0.6597900524569885,-193.9361436142527,LAD,-165,Miami Marlins,Los Angeles Dodgers,Bovada,28.9361436142527,9.243140975928327
TOR,3.4808705238991022,0.3998207810416201,150.11206205810072,TOR,-240,Toronto Blue Jays,Chicago Cubs,Bovada,-190.11206205810072,7.745641017164334
CHC,4.264770493265232,0.6001792189583799,-150.11206205810075,CHC,195,Toronto Blue Jays,Chicago Cubs,Bovada,145.11206205810075,7.745641017164334
MIN,5.38488301057775,0.5751196210138163,-135.36036245922244,MIN,-123,Minnesota Twins,Boston Red Sox,Bovada,12.360362459222443,10.013279101862064
BOS,4.628396091284316,0.4248803789861836,135.36036245922253,BOS,103,Minnesota Twins,Boston Red Sox,Bovada,-32.36036245922253,10.013279101862064
MIL,4.677101205939105,0.6418946507461328,-179.24743433281765,MIL,-335,Milwaukee Brewers,Pittsburgh Pirates,Bovada,-155.75256566718235,8.170517113338121
PIT,3.4934159073990165,0.3581053492538672,179.2474343328176,PIT,265,Milwaukee Brewers,Pittsburgh Pirates,Bovada,85.75256566718241,8.170517113338121
LAA,3.799958804978753,0.3684821148761973,171.3835922093478,LAA,148,Los Angeles Angels,New York Yankees,Bovada,-23.383592209347796,8.77462001419525
NYY,4.974661209216498,0.6315178851238026,-171.38359220934777,NYY,-180,Los Angeles Angels,New York Yankees,Bovada,-8.616407790652232,8.77462001419525
ARI,4.074875753622184,0.415446909648777,140.7046428255803,ARI,153,Arizona Diamondbacks,Philadelphia Phillies,Bovada,12.295357174419706,8.908452129400859
PHI,4.833576375778675,0.5845530903512228,-140.7046428255802,PHI,-185,Arizona Diamondbacks,Philadelphia Phillies,Bovada,-44.29535717441979,8.908452129400859
SFG,4.081159165309336,0.4977337740483594,100.91061771163648,SFG,-125,San Francisco Giants,San Diego Padres,Bovada,-25.910617711636476,8.180858098765443
SDP,4.099698933456106,0.5022662259516404,-100.91061771163643,SDP,105,San Francisco Giants,San Diego Padres,Bovada,5.910617711636434,8.180858098765443
