name,price,point,home_team,away_team,bookmakers.title
Philadelphia Phillies,-133,,San Francisco Giants,Philadelphia Phillies,FOX Bet
San Francisco Giants,110,,San Francisco Giants,Philadelphia Phillies,FOX Bet
Philadelphia Phillies,-125,,San Francisco Giants,Philadelphia Phillies,William Hill (US)
San Francisco Giants,105,,San Francisco Giants,Philadelphia Phillies,William Hill (US)
Philadelphia Phillies,-125,,San Francisco Giants,Philadelphia Phillies,Bovada
San Francisco Giants,105,,San Francisco Giants,Philadelphia Phillies,Bovada
Philadelphia Phillies,-119,,San Francisco Giants,Philadelphia Phillies,WynnBET
San Francisco Giants,109,,San Francisco Giants,Philadelphia Phillies,WynnBET
Philadelphia Phillies,-124,,San Francisco Giants,Philadelphia Phillies,FanDuel
San Francisco Giants,106,,San Francisco Giants,Philadelphia Phillies,FanDuel
Philadelphia Phillies,-118,,San Francisco Giants,Philadelphia Phillies,LowVig.ag
San Francisco Giants,108,,San Francisco Giants,Philadelphia Phillies,LowVig.ag
Philadelphia Phillies,-125,,San Francisco Giants,Philadelphia Phillies,DraftKings
San Francisco Giants,105,,San Francisco Giants,Philadelphia Phillies,DraftKings
Philadelphia Phillies,-119,,San Francisco Giants,Philadelphia Phillies,BetOnline.ag
San Francisco Giants,108,,San Francisco Giants,Philadelphia Phillies,BetOnline.ag
Philadelphia Phillies,-115,,San Francisco Giants,Philadelphia Phillies,Betfair
San Francisco Giants,112,,San Francisco Giants,Philadelphia Phillies,Betfair
Philadelphia Phillies,-112,,San Francisco Giants,Philadelphia Phillies,Betfair
San Francisco Giants,116,,San Francisco Giants,Philadelphia Phillies,Betfair
Philadelphia Phillies,-119,,San Francisco Giants,Philadelphia Phillies,BetUS
San Francisco Giants,109,,San Francisco Giants,Philadelphia Phillies,BetUS
Philadelphia Phillies,-118,,San Francisco Giants,Philadelphia Phillies,GTbets
San Francisco Giants,108,,San Francisco Giants,Philadelphia Phillies,GTbets
Philadelphia Phillies,-130,,San Francisco Giants,Philadelphia Phillies,Circa Sports
San Francisco Giants,110,,San Francisco Giants,Philadelphia Phillies,Circa Sports
Philadelphia Phillies,-120,,San Francisco Giants,Philadelphia Phillies,BetMGM
San Francisco Giants,100,,San Francisco Giants,Philadelphia Phillies,BetMGM
Philadelphia Phillies,-118,,San Francisco Giants,Philadelphia Phillies,Intertops
San Francisco Giants,108,,San Francisco Giants,Philadelphia Phillies,Intertops
Philadelphia Phillies,-127,,San Francisco Giants,Philadelphia Phillies,SugarHouse
San Francisco Giants,112,,San Francisco Giants,Philadelphia Phillies,SugarHouse
Philadelphia Phillies,-132,,San Francisco Giants,Philadelphia Phillies,Barstool Sportsbook
San Francisco Giants,112,,San Francisco Giants,Philadelphia Phillies,Barstool Sportsbook
Philadelphia Phillies,-134,,San Francisco Giants,Philadelphia Phillies,TwinSpires
San Francisco Giants,112,,San Francisco Giants,Philadelphia Phillies,TwinSpires
Philadelphia Phillies,-133,,San Francisco Giants,Philadelphia Phillies,Unibet
San Francisco Giants,112,,San Francisco Giants,Philadelphia Phillies,Unibet
Philadelphia Phillies,-127,,San Francisco Giants,Philadelphia Phillies,BetRivers
San Francisco Giants,112,,San Francisco Giants,Philadelphia Phillies,BetRivers
Boston Red Sox,-152,,Boston Red Sox,Texas Rangers,Unibet
Texas Rangers,128,,Boston Red Sox,Texas Rangers,Unibet
Boston Red Sox,-143,,Boston Red Sox,Texas Rangers,BetRivers
Texas Rangers,125,,Boston Red Sox,Texas Rangers,BetRivers
Boston Red Sox,-148,,Boston Red Sox,Texas Rangers,TwinSpires
