team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
STL,4.80161427480009,0.5707517228856673,-132.96540797382036,STL,-290,St. Louis Cardinals,Washington Nationals,Bovada,-157.03459202617964,8.965683434757384
WSN,4.164069159957293,0.4292482771143327,132.96540797382033,WSN,230,St. Louis Cardinals,Washington Nationals,Bovada,97.03459202617967,8.965683434757384
CHC,4.184438696742202,0.4947149526223094,102.13660304774552,CHC,-143,Chicago Cubs,Cincinnati Reds,Bovada,-45.136603047745524,8.413343554827776
CIN,4.228904858085573,0.5052850473776906,-102.13660304774557,CIN,120,Chicago Cubs,Cincinnati Reds,Bovada,22.136603047745567,8.413343554827776
MIL,4.672258639589264,0.5584354463740355,-126.46745346481518,MIL,-200,Milwaukee Brewers,San Francisco Giants,Bovada,-73.53254653518482,8.826937774130261
SFG,4.154679134540997,0.4415645536259644,126.4674534648152,SFG,165,Milwaukee Brewers,San Francisco Giants,Bovada,38.53254653518481,8.826937774130261
MIL,4.613179838989563,0.498895511487068,100.44277348162132,MIL,-200,Milwaukee Brewers,San Francisco Giants,Bovada,-100.44277348162132,9.236561366352255
SFG,4.623381527362692,0.501104488512932,-100.44277348162136,SFG,165,Milwaukee Brewers,San Francisco Giants,Bovada,65.44277348162136,9.236561366352255
PHI,4.502993152888172,0.5640326132834758,-129.3749556661729,PHI,-130,Philadelphia Phillies,Miami Marlins,Bovada,-0.6250443338271054,8.461908173668494
MIA,3.9589150207803225,0.4359673867165241,129.37495566617295,MIA,108,Philadelphia Phillies,Miami Marlins,Bovada,-21.37495566617295,8.461908173668494
NYY,4.685559646516539,0.5316728856509815,-113.52596707752323,NYY,-140,New York Yankees,Minnesota Twins,Bovada,-26.474032922476766,9.083140829943297
MIN,4.397581183426758,0.4683271143490184,113.52596707752328,MIN,117,New York Yankees,Minnesota Twins,Bovada,3.4740329224767237,9.083140829943297
OAK,3.016231834956165,0.3184478681116113,214.02314166208023,OAK,156,Oakland Athletics,Chicago White Sox,Bovada,-58.023141662080235,7.428837181049558
CHW,4.412605346093393,0.6815521318883886,-214.02314166208023,CHW,-190,Oakland Athletics,Chicago White Sox,Bovada,24.023141662080235,7.428837181049558
