name,price,point,home_team,away_team,bookmakers.title
Houston Astros,-142,,Texas Rangers,Houston Astros,FanDuel
Texas Rangers,120,,Texas Rangers,Houston Astros,FanDuel
Houston Astros,-128,,Texas Rangers,Houston Astros,Betfair
Texas Rangers,126,,Texas Rangers,Houston Astros,Betfair
Houston Astros,-127,,Texas Rangers,Houston Astros,Betfair
Texas Rangers,130,,Texas Rangers,Houston Astros,Betfair
Houston Astros,-130,,Texas Rangers,Houston Astros,BetUS
Texas Rangers,120,,Texas Rangers,Houston Astros,BetUS
Houston Astros,-141,,Texas Rangers,Houston Astros,Circa Sports
Texas Rangers,120,,Texas Rangers,Houston Astros,Circa Sports
Houston Astros,-152,,Texas Rangers,Houston Astros,Unibet
Texas Rangers,125,,Texas Rangers,Houston Astros,Unibet
Houston Astros,-150,,Texas Rangers,Houston Astros,Barstool Sportsbook
Texas Rangers,125,,Texas Rangers,Houston Astros,Barstool Sportsbook
Houston Astros,-152,,Texas Rangers,Houston Astros,TwinSpires
Texas Rangers,125,,Texas Rangers,Houston Astros,TwinSpires
Houston Astros,-143,,Texas Rangers,Houston Astros,SugarHouse
Texas Rangers,125,,Texas Rangers,Houston Astros,SugarHouse
Houston Astros,-143,,Texas Rangers,Houston Astros,BetRivers
Texas Rangers,125,,Texas Rangers,Houston Astros,BetRivers
Houston Astros,-143,,Texas Rangers,Houston Astros,FOX Bet
Texas Rangers,120,,Texas Rangers,Houston Astros,FOX Bet
Houston Astros,-145,,Texas Rangers,Houston Astros,BetMGM
Texas Rangers,120,,Texas Rangers,Houston Astros,BetMGM
Houston Astros,-140,,Texas Rangers,Houston Astros,DraftKings
Texas Rangers,120,,Texas Rangers,Houston Astros,DraftKings
Houston Astros,-140,,Texas Rangers,Houston Astros,William Hill (US)
Texas Rangers,118,,Texas Rangers,Houston Astros,William Hill (US)
Houston Astros,-140,,Texas Rangers,Houston Astros,Bovada
Texas Rangers,117,,Texas Rangers,Houston Astros,Bovada
Houston Astros,-128,,Texas Rangers,Houston Astros,LowVig.ag
Texas Rangers,118,,Texas Rangers,Houston Astros,LowVig.ag
Houston Astros,-128,,Texas Rangers,Houston Astros,BetOnline.ag
Texas Rangers,118,,Texas Rangers,Houston Astros,BetOnline.ag
Houston Astros,-128,,Texas Rangers,Houston Astros,GTbets
Texas Rangers,118,,Texas Rangers,Houston Astros,GTbets
Houston Astros,-128,,Texas Rangers,Houston Astros,WynnBET
Texas Rangers,119,,Texas Rangers,Houston Astros,WynnBET
Houston Astros,-135,,Texas Rangers,Houston Astros,Intertops
Texas Rangers,125,,Texas Rangers,Houston Astros,Intertops
Milwaukee Brewers,-294,,Milwaukee Brewers,Pittsburgh Pirates,Unibet
Pittsburgh Pirates,230,,Milwaukee Brewers,Pittsburgh Pirates,Unibet
Milwaukee Brewers,-275,,Milwaukee Brewers,Pittsburgh Pirates,BetUS
Pittsburgh Pirates,225,,Milwaukee Brewers,Pittsburgh Pirates,BetUS
Milwaukee Brewers,-295,,Milwaukee Brewers,Pittsburgh Pirates,TwinSpires
Pittsburgh Pirates,230,,Milwaukee Brewers,Pittsburgh Pirates,TwinSpires
Milwaukee Brewers,-278,,Milwaukee Brewers,Pittsburgh Pirates,BetOnline.ag
Pittsburgh Pirates,242,,Milwaukee Brewers,Pittsburgh Pirates,BetOnline.ag
Milwaukee Brewers,-265,,Milwaukee Brewers,Pittsburgh Pirates,DraftKings
Pittsburgh Pirates,225,,Milwaukee Brewers,Pittsburgh Pirates,DraftKings
Milwaukee Brewers,-286,,Milwaukee Brewers,Pittsburgh Pirates,FOX Bet
Pittsburgh Pirates,225,,Milwaukee Brewers,Pittsburgh Pirates,FOX Bet
Milwaukee Brewers,-278,,Milwaukee Brewers,Pittsburgh Pirates,William Hill (US)
Pittsburgh Pirates,222,,Milwaukee Brewers,Pittsburgh Pirates,William Hill (US)
Milwaukee Brewers,-278,,Milwaukee Brewers,Pittsburgh Pirates,SugarHouse
Pittsburgh Pirates,230,,Milwaukee Brewers,Pittsburgh Pirates,SugarHouse
Milwaukee Brewers,-278,,Milwaukee Brewers,Pittsburgh Pirates,Barstool Sportsbook
Pittsburgh Pirates,230,,Milwaukee Brewers,Pittsburgh Pirates,Barstool Sportsbook
Milwaukee Brewers,-271,,Milwaukee Brewers,Pittsburgh Pirates,LowVig.ag
